"","MISSIONID","REGION","REGION_NAME","ISLAND","ISLANDCODE","REEF_ZONE","DEPTH_BIN","OBS_YEAR","DATE_","NO_SURVEY_YN","SITEVISITID","SITE","DIVER","TRANSECT","SEGMENT","SEGWIDTH","SEGLENGTH","Fragment","COLONYID","SPCODE","MORPHOLOGY","COLONYLENGTH","OLDDEAD","RDEXTENT1","GENRD1","RD1","RDEXTENT2","GENRD2","RD2","GENRD3","RD3","RDEXTENT3","CONDITION_1","CONDITION_2","CONDITION_3","EXTENT_1","EXTENT_2","EXTENT_3","SEVERITY_1","SEVERITY_2","SEVERITY_3","GENUS_CODE","S_ORDER","TAXONNAME","LATITUDE","LONGITUDE","SEC_NAME","ANALYSIS_YEAR","bANALYSIS_SCHEME","MIN_DEPTH_M","MAX_DEPTH_M","TAXONCODE","TRANSECTAREA","SITE_DEPTH"
"1","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-03 00:00:00",0,8202,"TUT-01551","BDS",1,0,1,2.5,NA,416720,"ISSP","Plating",6,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.24987,-170.5623,"TUT_NE_OPEN","2015","BEN_SEC2015",13.41055,15.54404,"ISSP",10,14.477295
"2","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-03 00:00:00",0,8202,"TUT-01551","BDS",1,0,1,2.5,NA,416751,"ISSP","Encrusting (mounding)",26,55,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.24987,-170.5623,"TUT_NE_OPEN","2015","BEN_SEC2015",13.41055,15.54404,"ISSP",10,14.477295
"3","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-03 00:00:00",0,8202,"TUT-01551","MAR",1,15,1,2.5,NA,416572,"ISSP","Encrusting (mounding)",21,5,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.24987,-170.5623,"TUT_NE_OPEN","2015","BEN_SEC2015",13.41055,15.54404,"ISSP",10,14.477295
"4","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-03 00:00:00",0,8202,"TUT-01551","MAR",1,15,1,2.5,NA,416626,"ISSP","Encrusting (mounding)",7,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.24987,-170.5623,"TUT_NE_OPEN","2015","BEN_SEC2015",13.41055,15.54404,"ISSP",10,14.477295
"5","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Shallow","2015","2015-03-03 00:00:00",0,8191,"TUT-01561","BVA",1,5,1,2.5,NA,416326,"ICRA","Encrusting (mounding)",19,10,0,"","",0,"","","","",0,"BLE","","",80,NA,NA,2,NA,NA,"ISSP","Scleractinia","Isopora crateriformis",-14.24702,-170.5675,"TUT_NE_OPEN","2015","BEN_SEC2015",5.486132,6.705273,"ISSP",10,6.0957025
"6","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Shallow","2015","2015-03-03 00:00:00",0,8200,"TUT-01568","MAR",1,15,1,2.5,NA,416287,"ISSP","Encrusting (mounding)",46,20,0,"","",0,"","","","",0,"BLE","","",100,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.24883,-170.6266,"TUT_NE_OPEN","2015","BEN_SEC2015",4.266992,6.705273,"ISSP",10,5.4861325
"7","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Shallow","2015","2015-03-03 00:00:00",0,8200,"TUT-01568","MAR",1,15,1,2.5,NA,416306,"ISSP","Encrusting (mounding)",11,0,0,"","",0,"","","","",0,"BLE","","",80,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.24883,-170.6266,"TUT_NE_OPEN","2015","BEN_SEC2015",4.266992,6.705273,"ISSP",10,5.4861325
"8","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-29 00:00:00",0,8619,"TUT-01685","BDS",1,5,1,2.5,NA,439693,"ISSP","Plating",20,0,0,"","",0,"","","","",0,"BLE","","",100,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.29979,-170.5678,"TUT_AUNUU_A","2015","BEN_SEC2015",20.11582,21.33496,"ISSP",8.5,20.72539
"9","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-29 00:00:00",0,8630,"TUT-01699","HB",1,10,1,2.5,NA,439187,"ISSP","Encrusting (mounding)",21,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.28779,-170.5641,"TUT_AUNUU_A","2015","BEN_SEC2015",19.50625,21.03017,"ISSP",10,20.26821
"10","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-02-28 00:00:00",0,8154,"TUT-01715","MAR",1,15,1,2.5,NA,414420,"ISSP","Encrusting (mounding)",8,0,0,"","",0,"","","","",0,"BLE","","",100,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.29025,-170.5505,"TUT_AUNUU_A","2015","BEN_SEC2015",9.143554,12.80098,"ISSP",10,10.972267
