Longitude,Latitude,Scientific.Name,Source
-170.7635,-14.36512,Acropora globiceps,CoralBelt
-170.7354,-14.3602,Acropora globiceps,CoralBelt
-170.6835,-14.24569,Acropora globiceps,CoralBelt
-170.6814,-14.24389,Acropora globiceps,CoralBelt
-170.6694,-14.23855,Acropora globiceps,CoralBelt
-170.6693,-14.24396,Acropora globiceps,CoralBelt
-170.6685,-14.24669,Acropora globiceps,CoralBelt
-170.6682,-14.24653,Acropora globiceps,CoralBelt
-170.6643,-14.24689,Acropora globiceps,CoralBelt
-170.6236,-14.25577,Acropora globiceps,CoralBelt
-170.6147,-14.25195,Acropora globiceps,CoralBelt
