Longitude,Latitude,Scientific.Name,Source
-170.835181,-14.312552,Acropora globiceps,CRAG
-170.83302,-14.326555,Acropora globiceps,CRAG
-170.808356,-14.328897,Acropora globiceps,CRAG
-170.793001,-14.336857,Acropora globiceps,CRAG
-170.789572,-14.341511,Acropora globiceps,CRAG
-170.7887206,-14.342562,Acropora globiceps,CRAG
-170.762139,-14.364022,Acropora globiceps,CRAG
-170.759657,-14.289572,Acropora globiceps,CRAG
-170.657893,-14.25124,Acropora globiceps,CRAG
-170.653333,-14.290007,Acropora globiceps,CRAG
-170.65275,-14.256019,Acropora globiceps,CRAG
-170.6378,-14.28218,Acropora globiceps,CRAG
-170.637769,-14.282175,Acropora globiceps,CRAG
-170.62711,-14.255733,Acropora globiceps,CRAG
-170.621867,-14.273633,Acropora globiceps,CRAG
-170.612441,-14.272138,Acropora globiceps,CRAG
-170.607639,-14.276775,Acropora globiceps,CRAG
-170.588698,-14.258177,Acropora globiceps,CRAG
-170.582883,-14.275625,Acropora globiceps,CRAG
-170.563628,-14.28465,Acropora globiceps,CRAG
