Longitude,Latitude,Scientific.Name,Source
-170.7635,-14.36512,Acropora globiceps,NCRMP
-170.7354,-14.360202,Acropora globiceps,NCRMP
-170.6835,-14.24569,Acropora globiceps,NCRMP
-170.681417,-14.243888,Acropora globiceps,NCRMP
-170.6694,-14.23855,Acropora globiceps,NCRMP
-170.6693,-14.24396,Acropora globiceps,NCRMP
-170.668482,-14.246694,Acropora globiceps,NCRMP
-170.6682,-14.24653,Acropora globiceps,NCRMP
-170.6643,-14.24689,Acropora globiceps,NCRMP
-170.614679,-14.25195,Acropora globiceps,NCRMP
-169.678984,-14.18225,Acropora globiceps,NCRMP
-169.651578,-14.179381,Acropora globiceps,NCRMP
-169.645439,-14.174528,Acropora globiceps,NCRMP
-169.639249,-14.163473,Acropora globiceps,NCRMP
-169.636723,-14.160221,Acropora globiceps,NCRMP
-169.625283,-14.18306,Acropora globiceps,NCRMP
-169.491361,-14.275308,Acropora globiceps,NCRMP
