Longitude,Latitude,Scientific.Name,Source
-170.7635,-14.36512,Acropora globiceps,Exp.NCRMP
-170.7354,-14.3602,Acropora globiceps,Exp.NCRMP
-170.6835,-14.24569,Acropora globiceps,Exp.NCRMP
-170.6814,-14.24389,Acropora globiceps,Exp.NCRMP
-170.6694,-14.23855,Acropora globiceps,Exp.NCRMP
-170.6693,-14.24396,Acropora globiceps,Exp.NCRMP
-170.6685,-14.24669,Acropora globiceps,Exp.NCRMP
-170.6682,-14.24653,Acropora globiceps,Exp.NCRMP
-170.6643,-14.24689,Acropora globiceps,Exp.NCRMP
-170.6236,-14.25577,Acropora globiceps,Exp.NCRMP
-170.6147,-14.25195,Acropora globiceps,Exp.NCRMP
