Longitude,Latitude,Scientific.Name,Source
-170.72366,-14.27443,Acropora globiceps,NPS
-170.70999,-14.26106,Acropora globiceps,NPS
-170.70329,-14.25624,Acropora globiceps,NPS
-170.69873,-14.25195,Acropora globiceps,NPS
-170.69496,-14.25011,Acropora globiceps,NPS
-170.68919,-14.24765,Acropora globiceps,NPS
-170.68706,-14.24641,Acropora globiceps,NPS
-170.68038,-14.24313,Acropora globiceps,NPS
-170.6798,-14.24256,Acropora globiceps,NPS
-170.66972,-14.24445,Acropora globiceps,NPS
-170.66964,-14.23823,Acropora globiceps,NPS
-170.66921,-14.23547,Acropora globiceps,NPS
-170.66901,-14.23544,Acropora globiceps,NPS
-170.66879,-14.23598,Acropora globiceps,NPS
-170.66813,-14.23766,Acropora globiceps,NPS
-170.65948,-14.24415,Acropora globiceps,NPS
-170.65924,-14.24933,Acropora globiceps,NPS
-170.65906,-14.24938,Acropora globiceps,NPS
-170.65565,-14.24993,Acropora globiceps,NPS
