Scientific.Name,Longitude,Latitude,source,range
Acropora globiceps,136.07694,20.42219,GBIF,Global Occurrences
Acropora globiceps,158.382,-19.9194,GBIF,Global Occurrences
Acropora globiceps,166.585,-22.62333,GBIF,Global Occurrences
Acropora globiceps,163.973,-19.6419,GBIF,Global Occurrences
Acropora globiceps,158.382,-19.9201,GBIF,Global Occurrences
Acropora globiceps,-149.84602,-17.47614,GBIF,Global Occurrences
Acropora globiceps,159.068333,-31.51,GBIF,Global Occurrences
Acropora globiceps,-149.666667,-17.583333,GBIF,Global Occurrences
Acropora globiceps,-149.833333,-17.583333,GBIF,Global Occurrences
Acropora globiceps,-169.916667,-19,GBIF,Global Occurrences
Acropora globiceps,-151.75,-16.5,GBIF,Global Occurrences
Acropora globiceps,151.416667,-17.65,GBIF,Global Occurrences
Acropora globiceps,-157.25,-20.166667,GBIF,Global Occurrences
Acropora globiceps,-159.75,-21.083333,GBIF,Global Occurrences
Acropora globiceps,-159.833333,-18.833333,GBIF,Global Occurrences
Acropora globiceps,-128,-24.333333,GBIF,Global Occurrences
Acropora globiceps,-124.666667,-25,GBIF,Global Occurrences
Acropora globiceps,-149.83333,-17.58333,OBIS,Global Occurrences
Acropora globiceps,-124.66667,-25,OBIS,Global Occurrences
Acropora globiceps,-159.83333,-18.83333,OBIS,Global Occurrences
Acropora globiceps,-151.75,-16.5,OBIS,Global Occurrences
Acropora globiceps,-169.91666,-19,OBIS,Global Occurrences
Acropora globiceps,166.29,11.16,OBIS,Global Occurrences
Acropora globiceps,-130.758,-23.931,OBIS,Global Occurrences
Acropora globiceps,-149.83333,-17.5,OBIS,Global Occurrences
Acropora globiceps,166.88,11.29,OBIS,Global Occurrences
Acropora globiceps,166.53,11.11,OBIS,Global Occurrences
Acropora globiceps,-149.66666,-17.58333,OBIS,Global Occurrences
Acropora globiceps,136.07694,20.42219,OBIS,Global Occurrences
Acropora globiceps,166.67,11.46,OBIS,Global Occurrences
Acropora globiceps,159.06833,-31.51,OBIS,Global Occurrences
Acropora globiceps,171.7,6.1,OBIS,Global Occurrences
Acropora globiceps,-128,-24.33333,OBIS,Global Occurrences
Acropora globiceps,-159.75,-21.08333,OBIS,Global Occurrences
Acropora globiceps,-157.25,-20.16667,OBIS,Global Occurrences
Acropora globiceps,-128.296,-24.328,OBIS,Global Occurrences
Acropora globiceps,136.08333,20.41666,OBIS,Global Occurrences
Acropora globiceps,166.7,11.21,OBIS,Global Occurrences
Acropora globiceps,151.41666,-17.65,OBIS,Global Occurrences
Acropora globiceps,158.382,-19.9194,GBIF,Central 50% Range
Acropora globiceps,158.382,-19.9201,GBIF,Central 50% Range
Acropora globiceps,-149.84602,-17.47614,GBIF,Central 50% Range
Acropora globiceps,-149.666667,-17.583333,GBIF,Central 50% Range
Acropora globiceps,-149.833333,-17.583333,GBIF,Central 50% Range
Acropora globiceps,151.416667,-17.65,GBIF,Central 50% Range
Acropora globiceps,-149.83333,-17.58333,OBIS,Central 50% Range
Acropora globiceps,-149.83333,-17.5,OBIS,Central 50% Range
Acropora globiceps,-149.66666,-17.58333,OBIS,Central 50% Range
Acropora globiceps,151.41666,-17.65,OBIS,Central 50% Range
Acropora globiceps,158.382,-19.9194,GBIF,Central 80% Range
Acropora globiceps,166.585,-22.62333,GBIF,Central 80% Range
Acropora globiceps,163.973,-19.6419,GBIF,Central 80% Range
Acropora globiceps,158.382,-19.9201,GBIF,Central 80% Range
Acropora globiceps,-149.84602,-17.47614,GBIF,Central 80% Range
Acropora globiceps,-149.666667,-17.583333,GBIF,Central 80% Range
Acropora globiceps,-149.833333,-17.583333,GBIF,Central 80% Range
Acropora globiceps,-151.75,-16.5,GBIF,Central 80% Range
Acropora globiceps,151.416667,-17.65,GBIF,Central 80% Range
Acropora globiceps,-157.25,-20.166667,GBIF,Central 80% Range
Acropora globiceps,-159.75,-21.083333,GBIF,Central 80% Range
Acropora globiceps,-128,-24.333333,GBIF,Central 80% Range
Acropora globiceps,-149.83333,-17.58333,OBIS,Central 80% Range
Acropora globiceps,-151.75,-16.5,OBIS,Central 80% Range
Acropora globiceps,166.29,11.16,OBIS,Central 80% Range
Acropora globiceps,-130.758,-23.931,OBIS,Central 80% Range
Acropora globiceps,-149.83333,-17.5,OBIS,Central 80% Range
Acropora globiceps,166.53,11.11,OBIS,Central 80% Range
Acropora globiceps,-149.66666,-17.58333,OBIS,Central 80% Range
Acropora globiceps,-128,-24.33333,OBIS,Central 80% Range
Acropora globiceps,-159.75,-21.08333,OBIS,Central 80% Range
Acropora globiceps,-157.25,-20.16667,OBIS,Central 80% Range
Acropora globiceps,-128.296,-24.328,OBIS,Central 80% Range
Acropora globiceps,151.41666,-17.65,OBIS,Central 80% Range
