Longitude,Latitude,Year,Scientific.Name,Source
-170.84733068,-14.32215376,2008,Genus Tridacna,RAMP/NCRMP
-170.8409739,-14.3181339,2004,Genus Tridacna,RAMP/NCRMP
-170.83768406,-14.31278406,2004,Genus Tridacna,RAMP/NCRMP
-170.83742598,-14.31279635,2008,Genus Tridacna,RAMP/NCRMP
-170.83621074,-14.32742963,2004,Genus Tridacna,RAMP/NCRMP
-170.83615294,-14.32768281,2010,Genus Tridacna,RAMP/NCRMP
-170.83606405,-14.31311405,2002,Genus Tridacna,RAMP/NCRMP
-170.83562675,-14.3105739,2008,Genus Tridacna,RAMP/NCRMP
-170.83535776,-14.31089656,2002,Genus Tridacna,RAMP/NCRMP
-170.83459144,-14.30893358,2008,Genus Tridacna,RAMP/NCRMP
-170.83242573,-14.30775594,2008,Genus Tridacna,RAMP/NCRMP
-170.83052453,-14.30675925,2008,Genus Tridacna,RAMP/NCRMP
-170.82953533,-14.30631267,2004,Genus Tridacna,RAMP/NCRMP
-170.82828191,-14.33180758,2012,Genus Tridacna,RAMP/NCRMP
-170.82663829,-14.30316829,2004,Genus Tridacna,RAMP/NCRMP
-170.82655066,-14.33154351,2012,Genus Tridacna,RAMP/NCRMP
-170.82587986,-14.30195493,2004,Genus Tridacna,RAMP/NCRMP
-170.82507854,-14.30186318,2008,Genus Tridacna,RAMP/NCRMP
-170.82470225,-14.30135612,2004,Genus Tridacna,RAMP/NCRMP
-170.82271696,-14.29987392,2004,Genus Tridacna,RAMP/NCRMP
-170.82155209,-14.29942403,2004,Genus Tridacna,RAMP/NCRMP
-170.81859334,-14.30031101,2010,Genus Tridacna,RAMP/NCRMP
-170.81632276,-14.3002168,2008,Genus Tridacna,RAMP/NCRMP
-170.81514004,-14.29946419,2008,Genus Tridacna,RAMP/NCRMP
-170.81496861,-14.29929463,2010,Genus Tridacna,RAMP/NCRMP
-170.81436504,-14.33250513,2004,Genus Tridacna,RAMP/NCRMP
-170.81388123,-14.29902969,2010,Genus Tridacna,RAMP/NCRMP
-170.81366599,-14.28205866,2004,Genus Tridacna,RAMP/NCRMP
-170.81364588,-14.28223647,2006,Genus Tridacna,RAMP/NCRMP
-170.81295439,-14.28160594,2010,Genus Tridacna,RAMP/NCRMP
-170.81282641,-14.29806824,2010,Genus Tridacna,RAMP/NCRMP
-170.8121825,-14.28224625,2004,Genus Tridacna,RAMP/NCRMP
-170.81209732,-14.29726371,2008,Genus Tridacna,RAMP/NCRMP
-170.81203402,-14.29729205,2006,Genus Tridacna,RAMP/NCRMP
-170.81192679,-14.29458339,2004,Genus Tridacna,RAMP/NCRMP
-170.811888,-14.29463467,2006,Genus Tridacna,RAMP/NCRMP
-170.811884,-14.29729142,2010,Genus Tridacna,RAMP/NCRMP
-170.80996531,-14.27994125,2010,Genus Tridacna,RAMP/NCRMP
-170.80934421,-14.27979,2006,Genus Tridacna,RAMP/NCRMP
-170.80842143,-14.29234048,2006,Genus Tridacna,RAMP/NCRMP
-170.80781003,-14.2920585,2015,Genus Tridacna,RAMP/NCRMP
-170.80746542,-14.33594917,2004,Genus Tridacna,RAMP/NCRMP
-170.80668459,-14.29195865,2006,Genus Tridacna,RAMP/NCRMP
-170.80623581,-14.29170609,2015,Genus Tridacna,RAMP/NCRMP
-170.80588569,-14.29161284,2004,Genus Tridacna,RAMP/NCRMP
-170.80340333,-14.29136838,2008,Genus Tridacna,RAMP/NCRMP
-170.80175902,-14.33543087,2012,Genus Tridacna,RAMP/NCRMP
-170.80155551,-14.29071312,2008,Genus Tridacna,RAMP/NCRMP
-170.80034482,-14.28950838,2008,Genus Tridacna,RAMP/NCRMP
-170.79844528,-14.33719053,2012,Genus Tridacna,RAMP/NCRMP
-170.79829693,-14.28878067,2008,Genus Tridacna,RAMP/NCRMP
-170.79800645,-14.33702532,2010,Genus Tridacna,RAMP/NCRMP
-170.79653884,-14.28998035,2008,Genus Tridacna,RAMP/NCRMP
-170.79616035,-14.33630386,2010,Genus Tridacna,RAMP/NCRMP
-170.79241935,-14.3380871,2004,Genus Tridacna,RAMP/NCRMP
-170.79226966,-14.29080966,2002,Genus Tridacna,RAMP/NCRMP
-170.7916075,-14.289785,2004,Genus Tridacna,RAMP/NCRMP
-170.79140502,-14.3394235,2010,Genus Tridacna,RAMP/NCRMP
-170.79132111,-14.33992026,2008,Genus Tridacna,RAMP/NCRMP
-170.7902803,-14.34193889,2010,Genus Tridacna,RAMP/NCRMP
-170.78995665,-14.34170335,2004,Genus Tridacna,RAMP/NCRMP
-170.78990471,-14.28947019,2004,Genus Tridacna,RAMP/NCRMP
-170.78964833,-14.34478642,2010,Genus Tridacna,RAMP/NCRMP
-170.78939932,-14.34441795,2004,Genus Tridacna,RAMP/NCRMP
-170.78896042,-14.34771873,2004,Genus Tridacna,RAMP/NCRMP
-170.78861391,-14.34942827,2004,Genus Tridacna,RAMP/NCRMP
-170.78809238,-14.28912135,2010,Genus Tridacna,RAMP/NCRMP
-170.78736058,-14.28967265,2002,Genus Tridacna,RAMP/NCRMP
-170.78722847,-14.35808306,2004,Genus Tridacna,RAMP/NCRMP
-170.78710437,-14.35850392,2012,Genus Tridacna,RAMP/NCRMP
-170.78666504,-14.28858504,2004,Genus Tridacna,RAMP/NCRMP
-170.7858772,-14.2881472,2002,Genus Tridacna,RAMP/NCRMP
-170.78206034,-14.28758655,2002,Genus Tridacna,RAMP/NCRMP
-170.78199396,-14.36144321,2008,Genus Tridacna,RAMP/NCRMP
-170.78086,-14.29071801,2002,Genus Tridacna,RAMP/NCRMP
-170.78072794,-14.28982383,2004,Genus Tridacna,RAMP/NCRMP
-170.78058853,-14.36207279,2008,Genus Tridacna,RAMP/NCRMP
-170.78058466,-14.28851892,2008,Genus Tridacna,RAMP/NCRMP
-170.78002183,-14.36139,2004,Genus Tridacna,RAMP/NCRMP
-170.77865279,-14.29169705,2008,Genus Tridacna,RAMP/NCRMP
-170.7786116,-14.29170365,2012,Genus Tridacna,RAMP/NCRMP
-170.77821092,-14.36295523,2006,Genus Tridacna,RAMP/NCRMP
-170.77770558,-14.36330078,2008,Genus Tridacna,RAMP/NCRMP
-170.77671249,-14.29102155,2008,Genus Tridacna,RAMP/NCRMP
-170.7760789,-14.36320871,2008,Genus Tridacna,RAMP/NCRMP
-170.77441052,-14.36372348,2008,Genus Tridacna,RAMP/NCRMP
-170.77327393,-14.29095795,2008,Genus Tridacna,RAMP/NCRMP
-170.77173033,-14.36484967,2006,Genus Tridacna,RAMP/NCRMP
-170.77131047,-14.36529246,2010,Genus Tridacna,RAMP/NCRMP
-170.77086968,-14.28992,2015,Genus Tridacna,RAMP/NCRMP
-170.76939969,-14.36684578,2010,Genus Tridacna,RAMP/NCRMP
-170.76840238,-14.36639238,2006,Genus Tridacna,RAMP/NCRMP
-170.76802229,-14.3655727,2010,Genus Tridacna,RAMP/NCRMP
-170.76790863,-14.28744482,2015,Genus Tridacna,RAMP/NCRMP
-170.76658333,-14.28803,2006,Genus Tridacna,RAMP/NCRMP
-170.76589932,-14.36274195,2012,Genus Tridacna,RAMP/NCRMP
-170.76432184,-14.28747146,2010,Genus Tridacna,RAMP/NCRMP
-170.76389735,-14.36320365,2010,Genus Tridacna,RAMP/NCRMP
-170.7631201,-14.28708,2004,Genus Tridacna,RAMP/NCRMP
-170.76259931,-14.36874379,2006,Genus Tridacna,RAMP/NCRMP
-170.76258,-14.37025411,2006,Genus Tridacna,RAMP/NCRMP
-170.762,-14.37266765,2004,Genus Tridacna,RAMP/NCRMP
-170.76198105,-14.28685035,2006,Genus Tridacna,RAMP/NCRMP
-170.7614554,-14.37507615,2006,Genus Tridacna,RAMP/NCRMP
-170.76122549,-14.28672274,2004,Genus Tridacna,RAMP/NCRMP
-170.76014279,-14.28658329,2008,Genus Tridacna,RAMP/NCRMP
-170.75928816,-14.37529363,2006,Genus Tridacna,RAMP/NCRMP
-170.75915137,-14.37527736,2008,Genus Tridacna,RAMP/NCRMP
-170.75774761,-14.37369719,2012,Genus Tridacna,RAMP/NCRMP
-170.75741402,-14.28887934,2004,Genus Tridacna,RAMP/NCRMP
-170.75689,-14.37185598,2006,Genus Tridacna,RAMP/NCRMP
-170.75654029,-14.37123574,2008,Genus Tridacna,RAMP/NCRMP
-170.75359541,-14.36784165,2002,Genus Tridacna,RAMP/NCRMP
-170.75337702,-14.36707876,2010,Genus Tridacna,RAMP/NCRMP
-170.75028544,-14.36059168,2010,Genus Tridacna,RAMP/NCRMP
-170.75003058,-14.36010019,2004,Genus Tridacna,RAMP/NCRMP
-170.74994699,-14.29071944,2012,Genus Tridacna,RAMP/NCRMP
-170.74959052,-14.3601383,2008,Genus Tridacna,RAMP/NCRMP
-170.74851644,-14.36065682,2012,Genus Tridacna,RAMP/NCRMP
-170.74812536,-14.3609416,2002,Genus Tridacna,RAMP/NCRMP
-170.74769713,-14.36179287,2006,Genus Tridacna,RAMP/NCRMP
-170.74751446,-14.36166457,2008,Genus Tridacna,RAMP/NCRMP
-170.74643016,-14.36224492,2002,Genus Tridacna,RAMP/NCRMP
-170.74589579,-14.36252631,2004,Genus Tridacna,RAMP/NCRMP
-170.74554019,-14.3630441,2008,Genus Tridacna,RAMP/NCRMP
-170.74223053,-14.36592631,2004,Genus Tridacna,RAMP/NCRMP
-170.74176181,-14.36641051,2012,Genus Tridacna,RAMP/NCRMP
-170.74075137,-14.28772275,2004,Genus Tridacna,RAMP/NCRMP
-170.74032567,-14.28911301,2004,Genus Tridacna,RAMP/NCRMP
-170.74009293,-14.28709031,2010,Genus Tridacna,RAMP/NCRMP
-170.73928637,-14.36652238,2008,Genus Tridacna,RAMP/NCRMP
-170.73896095,-14.28602983,2010,Genus Tridacna,RAMP/NCRMP
-170.73803684,-14.36422229,2010,Genus Tridacna,RAMP/NCRMP
-170.73749699,-14.28520967,2010,Genus Tridacna,RAMP/NCRMP
-170.73670324,-14.36227971,2006,Genus Tridacna,RAMP/NCRMP
-170.73502585,-14.28313979,2010,Genus Tridacna,RAMP/NCRMP
-170.73468748,-14.35982748,2006,Genus Tridacna,RAMP/NCRMP
-170.73374288,-14.28235932,2010,Genus Tridacna,RAMP/NCRMP
-170.73085997,-14.3562562,2008,Genus Tridacna,RAMP/NCRMP
-170.73026227,-14.35428639,2008,Genus Tridacna,RAMP/NCRMP
-170.73019929,-14.2815828,2010,Genus Tridacna,RAMP/NCRMP
-170.72982693,-14.35279693,2006,Genus Tridacna,RAMP/NCRMP
-170.72935469,-14.35246916,2008,Genus Tridacna,RAMP/NCRMP
-170.72868766,-14.35126511,2006,Genus Tridacna,RAMP/NCRMP
-170.72687219,-14.34958579,2008,Genus Tridacna,RAMP/NCRMP
-170.72495003,-14.34876995,2004,Genus Tridacna,RAMP/NCRMP
-170.72445276,-14.34878,2006,Genus Tridacna,RAMP/NCRMP
-170.72440912,-14.34878934,2012,Genus Tridacna,RAMP/NCRMP
-170.72411575,-14.27629356,2010,Genus Tridacna,RAMP/NCRMP
-170.72406824,-14.27454269,2008,Genus Tridacna,RAMP/NCRMP
-170.72388477,-14.27545569,2004,Genus Tridacna,RAMP/NCRMP
-170.72378381,-14.27397183,2012,Genus Tridacna,RAMP/NCRMP
-170.72345874,-14.34898437,2004,Genus Tridacna,RAMP/NCRMP
-170.72299124,-14.272301240000001,2004,Genus Tridacna,RAMP/NCRMP
-170.72158711,-14.27148351,2010,Genus Tridacna,RAMP/NCRMP
-170.72146138,-14.27144585,2008,Genus Tridacna,RAMP/NCRMP
-170.72134077,-14.34750077,2006,Genus Tridacna,RAMP/NCRMP
-170.72123286,-14.2712093,2004,Genus Tridacna,RAMP/NCRMP
-170.721031,-14.270851,2006,Genus Tridacna,RAMP/NCRMP
-170.72065369,-14.34680053,2004,Genus Tridacna,RAMP/NCRMP
-170.72021465,-14.27040489,2008,Genus Tridacna,RAMP/NCRMP
-170.71955974,-14.2700191,2012,Genus Tridacna,RAMP/NCRMP
-170.71800356,-14.26812962,2008,Genus Tridacna,RAMP/NCRMP
-170.71704917,-14.33877681,2008,Genus Tridacna,RAMP/NCRMP
-170.7138253,-14.2643152,2008,Genus Tridacna,RAMP/NCRMP
-170.71318788,-14.26202272,2015,Genus Tridacna,RAMP/NCRMP
-170.70639854,-14.26080295,2010,Genus Tridacna,RAMP/NCRMP
-170.70586985,-14.26095206,2012,Genus Tridacna,RAMP/NCRMP
-170.70585876,-14.33704089,2010,Genus Tridacna,RAMP/NCRMP
-170.70584264,-14.26090539,2015,Genus Tridacna,RAMP/NCRMP
-170.70528015,-14.26063129,2010,Genus Tridacna,RAMP/NCRMP
-170.70443746,-14.25951288,2010,Genus Tridacna,RAMP/NCRMP
-170.70439195,-14.25959708,2012,Genus Tridacna,RAMP/NCRMP
-170.70415309,-14.25909309,2004,Genus Tridacna,RAMP/NCRMP
-170.70392675,-14.25813228,2010,Genus Tridacna,RAMP/NCRMP
-170.70391778,-14.25868993,2008,Genus Tridacna,RAMP/NCRMP
-170.70385,-14.25742851,2004,Genus Tridacna,RAMP/NCRMP
-170.70365751,-14.25651212,2010,Genus Tridacna,RAMP/NCRMP
-170.70361593,-14.25635777,2008,Genus Tridacna,RAMP/NCRMP
-170.70361143,-14.25675648,2015,Genus Tridacna,RAMP/NCRMP
-170.70327113,-14.25451393,2008,Genus Tridacna,RAMP/NCRMP
-170.70309266,-14.25397762,2010,Genus Tridacna,RAMP/NCRMP
-170.70305104,-14.25521815,2010,Genus Tridacna,RAMP/NCRMP
-170.703,-14.25408111,2004,Genus Tridacna,RAMP/NCRMP
-170.70288,-14.25506504,2004,Genus Tridacna,RAMP/NCRMP
-170.70232565,-14.25308253,2015,Genus Tridacna,RAMP/NCRMP
-170.70208371,-14.25356509,2004,Genus Tridacna,RAMP/NCRMP
-170.70178406,-14.25182968,2015,Genus Tridacna,RAMP/NCRMP
-170.70024482,-14.33459286,2012,Genus Tridacna,RAMP/NCRMP
-170.69915967,-14.25268225,2002,Genus Tridacna,RAMP/NCRMP
-170.69510801,-14.32535182,2008,Genus Tridacna,RAMP/NCRMP
-170.6918056,-14.25194238,2008,Genus Tridacna,RAMP/NCRMP
-170.69154774,-14.25215057,2012,Genus Tridacna,RAMP/NCRMP
-170.69084561,-14.24865918,2004,Genus Tridacna,RAMP/NCRMP
-170.69069033,-14.24915072,2008,Genus Tridacna,RAMP/NCRMP
-170.69015075,-14.24768358,2006,Genus Tridacna,RAMP/NCRMP
-170.68993733,-14.24755705,2010,Genus Tridacna,RAMP/NCRMP
-170.6897792,-14.25078815,2008,Genus Tridacna,RAMP/NCRMP
-170.68965024,-14.24747501,2008,Genus Tridacna,RAMP/NCRMP
-170.68933206,-14.25159404,2012,Genus Tridacna,RAMP/NCRMP
-170.68874463,-14.24722283,2004,Genus Tridacna,RAMP/NCRMP
-170.68856121,-14.24702722,2012,Genus Tridacna,RAMP/NCRMP
-170.68758561,-14.2463,2004,Genus Tridacna,RAMP/NCRMP
-170.68743543,-14.30526686,2004,Genus Tridacna,RAMP/NCRMP
-170.68591192,-14.24645319,2008,Genus Tridacna,RAMP/NCRMP
-170.6856529,-14.24671485,2012,Genus Tridacna,RAMP/NCRMP
-170.68471433,-14.24628801,2015,Genus Tridacna,RAMP/NCRMP
-170.68448017,-14.24576006,2006,Genus Tridacna,RAMP/NCRMP
-170.68439787,-14.24666787,2004,Genus Tridacna,RAMP/NCRMP
-170.68379767,-14.2443765,2006,Genus Tridacna,RAMP/NCRMP
-170.68363,-14.24517982,2004,Genus Tridacna,RAMP/NCRMP
