Longitude,Latitude,Scientific.Name,Source
-170.8375,-14.32624,Isopora crateriformis,Expanded
-170.8345,-14.32658,Isopora crateriformis,Expanded
-170.8338,-14.32686,Isopora crateriformis,Expanded
-170.8313,-14.32947,Isopora crateriformis,Expanded
-170.8305,-14.33095,Isopora crateriformis,Expanded
-170.8186,-14.33439,Isopora crateriformis,Expanded
-170.8163,-14.33432,Isopora crateriformis,Expanded
-170.8141,-14.33066,Isopora crateriformis,Expanded
-170.8126,-14.33024,Isopora crateriformis,Expanded
-170.809,-14.29313,Isopora crateriformis,Expanded
-170.8041,-14.33662,Isopora crateriformis,Expanded
-170.8031,-14.3359,Isopora crateriformis,Expanded
-170.7891,-14.34374,Isopora crateriformis,Expanded
-170.7873,-14.3546,Isopora crateriformis,Expanded
-170.7864,-14.36034,Isopora crateriformis,Expanded
-170.7832,-14.35887,Isopora crateriformis,Expanded
-170.7819,-14.36336,Isopora crateriformis,Expanded
-170.7807,-14.29177,Isopora crateriformis,Expanded
-170.7719,-14.36717,Isopora crateriformis,Expanded
-170.7659,-14.36252,Isopora crateriformis,Expanded
-170.7628,-14.36297,Isopora crateriformis,Expanded
-170.7622,-14.36313,Isopora crateriformis,Expanded
-170.7618,-14.36406,Isopora crateriformis,Expanded
-170.7615,-14.36541,Isopora crateriformis,Expanded
-170.7602,-14.36417,Isopora crateriformis,Expanded
-170.7141,-14.26425,Isopora crateriformis,Expanded
-170.7125,-14.33746,Isopora crateriformis,Expanded
-170.7108,-14.33703,Isopora crateriformis,Expanded
-170.7059,-14.26109,Isopora crateriformis,Expanded
-170.6811,-14.30076,Isopora crateriformis,Expanded
-170.675,-14.30053,Isopora crateriformis,Expanded
-170.6732,-14.23714,Isopora crateriformis,Expanded
-170.6712,-14.24514,Isopora crateriformis,Expanded
-170.6703,-14.24367,Isopora crateriformis,Expanded
-170.6701,-14.24839,Isopora crateriformis,Expanded
-170.6701,-14.24381,Isopora crateriformis,Expanded
-170.6693,-14.24396,Isopora crateriformis,Expanded
-170.6459,-14.25291,Isopora crateriformis,Expanded
-170.6246,-14.28321,Isopora crateriformis,Expanded
-170.6196,-14.27975,Isopora crateriformis,Expanded
-170.6193,-14.27423,Isopora crateriformis,Expanded
-170.6073,-14.27746,Isopora crateriformis,Expanded
-170.607,-14.28309,Isopora crateriformis,Expanded
-170.6001,-14.2862,Isopora crateriformis,Expanded
-170.5675,-14.24702,Isopora crateriformis,Expanded
-170.5525,-14.29304,Isopora crateriformis,Expanded
-170.5498,-14.29288,Isopora crateriformis,Expanded
