island,site_name,date,year,month,day,depth,genus,longitude,latitude,source
Tutuila,TUT-14-Fagaitua,2017-03-31,2017,03,31,3.09863543510437,Isopora,-170.612441,-14.272138,CRAG
Tutuila,TUT-18-Fagatele,2017-04-06,2017,04,06,11.544618606567385,Isopora,-170.762139,-14.364022,CRAG
Tutuila,TUT-19-Laulii,2017-04-01,2017,04,01,8.742488861083984,Isopora,-170.653333,-14.290007,CRAG
Tutuila,TUT-2-Afono,2017-03-28,2017,03,28,NA,Isopora,-170.65275,-14.256019,CRAG
Tutuila,TUT-20-Leone,2017-04-01,2017,04,01,9.53581714630127,Isopora,-170.789572,-14.341511,CRAG
Tutuila,TUT-21-Leone_2 (ASCRMP),2017-04-01,2017,04,01,8.890673637390137,Isopora,-170.7887206,-14.342562,CRAG
Tutuila,TUT-26-NuaSeetaga,2017-04-04,2017,04,04,4.507663726806641,Isopora,-170.808356,-14.328897,CRAG
Tutuila,TUT-29-Poloa,2017-04-06,2017,04,06,11.343280792236328,Isopora,-170.835181,-14.312552,CRAG
Tutuila,TUT-3-Alega,2017-03-28,2017,03,28,14.6663179397583,Isopora,-170.637769,-14.282175,CRAG
Tutuila,TUT-4-Alofau,2017-03-28,2017,03,28,14.022217750549316,Isopora,-170.607639,-14.276775,CRAG
Tutuila,TUT-6-Amaluia,2017-03-29,2017,03,29,10.052556037902832,Isopora,-170.793001,-14.336857,CRAG
Tutuila,TUT-7-Amanave,2017-03-29,2017,03,29,4.58192253112793,Isopora,-170.83302,-14.326555,CRAG
Tutuila,TUT-9-Amouli,2017-03-30,2017,03,30,NA,Isopora,-170.582883,-14.275625,CRAG
Tutuila,Afono,2016-11-01,2016,11,01,10,Isopora,-170.65275,-14.256019,CRAG
Tutuila,Alega,2016-11-01,2016,11,01,10,Isopora,-170.637769,-14.282175,CRAG
Tutuila,Alofau,2016-11-01,2016,11,01,10,Isopora,-170.607639,-14.276775,CRAG
Tutuila,Amaluia,2016-11-01,2016,11,01,10,Isopora,-170.793001,-14.336857,CRAG
Tutuila,Amanave,2016-11-01,2016,11,01,10,Isopora,-170.83302,-14.326555,CRAG
Tutuila,Amouli,2016-11-01,2016,11,01,10,Isopora,-170.582883,-14.275625,CRAG
Tutuila,Fagaitua,2016-11-01,2016,11,01,10,Isopora,-170.612441,-14.272138,CRAG
Tutuila,Fagatele,2016-11-01,2016,11,01,10,Isopora,-170.762139,-14.364022,CRAG
Tutuila,Laulii,2016-11-01,2016,11,01,10,Isopora,-170.653333,-14.290007,CRAG
Tutuila,Leone,2016-11-01,2016,11,01,10,Isopora,-170.789572,-14.341511,CRAG
Tutuila,Nua Seetaga,2016-11-01,2016,11,01,10,Isopora,-170.808356,-14.328897,CRAG
Tutuila,Poloa,2016-11-01,2016,11,01,10,Isopora,-170.835181,-14.312552,CRAG
Tutuila,Aasu/ Massacre,2018-03-15,2018,3,15,10,Isopora,-170.759657,-14.289572,CRAG
Tutuila,Aasu/ Massacre,2019-03-14,2019,3,14,10,Isopora,-170.759657,-14.289572,CRAG
Tutuila,Alega,2020-02-25,2020,2,25,10,Isopora,-170.6378,-14.28218,CRAG
Tutuila,Amalau,2020-03-09,2020,3,9,10,Isopora,-170.657893,-14.25124,CRAG
Tutuila,Amaluia,2020-03-04,2020,3,4,10,Isopora,-170.793001,-14.336857,CRAG
Tutuila,Amanave,2020-03-04,2020,3,4,10,Isopora,-170.83302,-14.326555,CRAG
Tutuila,Amaua,2018-03-15,2018,3,15,10,Isopora,-170.621867,-14.273633,CRAG
Tutuila,Amouli,2020-02-28,2020,2,28,10,Isopora,-170.582883,-14.275625,CRAG
Tutuila,Aoa,2018-03-15,2018,3,15,10,Isopora,-170.588698,-14.258177,CRAG
Tutuila,Aunuu,2020-03-09,2020,3,9,10,Isopora,-170.563628,-14.28465,CRAG
Tutuila,Fagatele,2018-03-15,2018,3,15,10,Isopora,-170.762139,-14.364022,CRAG
Tutuila,Laulii,2020-03-05,2020,3,5,10,Isopora,-170.653333,-14.290007,CRAG
Tutuila,Leone,2018-03-15,2018,03,15,10,Isopora,-170.789572,-14.341511,CRAG
Tutuila,Leone,2019-03-18,2019,03,18,10,Isopora,-170.789572,-14.341511,CRAG
Tutuila,Leone,2020-02-26,2020,2,26,10,Isopora,-170.789572,-14.341511,CRAG
Tutuila,Leone_2 (ASCRMP),2020-03-12,2020,3,12,10,Isopora,-170.7887206,-14.342562,CRAG
Tutuila,Masefau,2020-03-05,2020,3,5,10,Isopora,-170.62711,-14.255733,CRAG
Tutuila,Nua,2020-03-13,2020,3,13,10,Isopora,-170.808356,-14.328897,CRAG
Tutuila,Poloa,2020-03-13,2020,3,13,10,Isopora,-170.835181,-14.312552,CRAG
