Longitude,Latitude,Scientific.Name,Source
-170.837539,-14.326243,Isopora crateriformis,NCRMP
-170.834455,-14.326576,Isopora crateriformis,NCRMP
-170.8338,-14.32686,Isopora crateriformis,NCRMP
-170.831316,-14.32947191,Isopora crateriformis,NCRMP
-170.830461,-14.330949,Isopora crateriformis,NCRMP
-170.818574,-14.334391,Isopora crateriformis,NCRMP
-170.8162656,-14.33431615,Isopora crateriformis,NCRMP
-170.8141,-14.33066,Isopora crateriformis,NCRMP
-170.8126,-14.330245,Isopora crateriformis,NCRMP
-170.809,-14.29313,Isopora crateriformis,NCRMP
-170.8041,-14.33662,Isopora crateriformis,NCRMP
-170.803115,-14.335902,Isopora crateriformis,NCRMP
-170.7891,-14.34374,Isopora crateriformis,NCRMP
-170.787302,-14.35459734,Isopora crateriformis,NCRMP
-170.7864,-14.36034,Isopora crateriformis,NCRMP
-170.7832159,-14.35887102,Isopora crateriformis,NCRMP
-170.781853,-14.36335701,Isopora crateriformis,NCRMP
-170.780676,-14.291769,Isopora crateriformis,NCRMP
-170.7622,-14.36313,Isopora crateriformis,NCRMP
-170.761836,-14.364058,Isopora crateriformis,NCRMP
-170.761482,-14.365412,Isopora crateriformis,NCRMP
-170.7602,-14.36417,Isopora crateriformis,NCRMP
-170.714077,-14.264252,Isopora crateriformis,NCRMP
-170.712544,-14.337464,Isopora crateriformis,NCRMP
-170.710782,-14.337026,Isopora crateriformis,NCRMP
-170.7059,-14.26109,Isopora crateriformis,NCRMP
-170.681107,-14.300762,Isopora crateriformis,NCRMP
-170.674962,-14.300534,Isopora crateriformis,NCRMP
-170.6732,-14.23714,Isopora crateriformis,NCRMP
-170.6712,-14.24514,Isopora crateriformis,NCRMP
-170.6703,-14.24367,Isopora crateriformis,NCRMP
-170.6701,-14.24839,Isopora crateriformis,NCRMP
-170.6701,-14.24381,Isopora crateriformis,NCRMP
-170.6693,-14.24396,Isopora crateriformis,NCRMP
-170.645889,-14.25291,Isopora crateriformis,NCRMP
-170.62463,-14.28321,Isopora crateriformis,NCRMP
-170.6196,-14.279754,Isopora crateriformis,NCRMP
-170.61926,-14.27423,Isopora crateriformis,NCRMP
-170.60733,-14.277459,Isopora crateriformis,NCRMP
-170.606971,-14.283092,Isopora crateriformis,NCRMP
-170.60006,-14.286201,Isopora crateriformis,NCRMP
-170.567499,-14.247019,Isopora crateriformis,NCRMP
-170.5525,-14.29304,Isopora crateriformis,NCRMP
-170.5498,-14.29288,Isopora crateriformis,NCRMP
