Longitude,Latitude,Scientific.Name,Source
-170.69531,-14.25089,Isopora crateriformis,NPS
-170.68706,-14.24641,Isopora crateriformis,NPS
-170.68168,-14.24392,Isopora crateriformis,NPS
-170.67176,-14.23583,Isopora crateriformis,NPS
-170.67009,-14.232,Isopora crateriformis,NPS
-170.66972,-14.24445,Isopora crateriformis,NPS
-170.66879,-14.23598,Isopora crateriformis,NPS
-170.66813,-14.23766,Isopora crateriformis,NPS
-170.65955,-14.24633,Isopora crateriformis,NPS
-170.65565,-14.24993,Isopora crateriformis,NPS
