Scientific.Name,Longitude,Latitude,source,range
Isopora crateriformis,166.443,-21.6233,GBIF,Global Occurrences
Isopora crateriformis,165.23703,-21.55022,GBIF,Global Occurrences
Isopora crateriformis,164.473,-20.2166,GBIF,Global Occurrences
Isopora crateriformis,166.397,-20.7244,GBIF,Global Occurrences
Isopora crateriformis,166.445,-21.6235,GBIF,Global Occurrences
Isopora crateriformis,-170.750244,-14.36024,GBIF,Global Occurrences
Isopora crateriformis,-170.788818,-14.34288,GBIF,Global Occurrences
Isopora crateriformis,-169.676025,-14.1846,GBIF,Global Occurrences
Isopora crateriformis,-170.704513,-14.33595,GBIF,Global Occurrences
Isopora crateriformis,-169.607696,-14.1864,GBIF,Global Occurrences
Isopora crateriformis,-169.655685,-14.16463,GBIF,Global Occurrences
Isopora crateriformis,-169.446945,-14.25116,GBIF,Global Occurrences
Isopora crateriformis,-170.561508,-14.26753,GBIF,Global Occurrences
Isopora crateriformis,-170.564056,-14.28551,GBIF,Global Occurrences
Isopora crateriformis,150.87305,-9.225533,GBIF,Global Occurrences
Isopora crateriformis,114.731533,5.020258,GBIF,Global Occurrences
Isopora crateriformis,-169.65,-14.183333,GBIF,Global Occurrences
Isopora crateriformis,132.778333,-3.311667,GBIF,Global Occurrences
Isopora crateriformis,135.67,-2.95,GBIF,Global Occurrences
Isopora crateriformis,153.548333,-27.39,GBIF,Global Occurrences
Isopora crateriformis,40.53971,-12.94070333,OBIS,Global Occurrences
Isopora crateriformis,59.63,-16.61,OBIS,Global Occurrences
Isopora crateriformis,-169.44694519,-14.251159668,OBIS,Global Occurrences
Isopora crateriformis,-170.7888184,-14.34288025,OBIS,Global Occurrences
Isopora crateriformis,-170.561508179,-14.2675304413,OBIS,Global Occurrences
Isopora crateriformis,49.07,-12.13,OBIS,Global Occurrences
Isopora crateriformis,-170.788818359,-14.342880249,OBIS,Global Occurrences
Isopora crateriformis,-169.676025391,-14.1845998764,OBIS,Global Occurrences
Isopora crateriformis,178.523631,-18.69188,OBIS,Global Occurrences
Isopora crateriformis,-170.5615082,-14.26753044,OBIS,Global Occurrences
Isopora crateriformis,153.54833,-27.39,OBIS,Global Occurrences
Isopora crateriformis,178.487108,-18.72004,OBIS,Global Occurrences
Isopora crateriformis,132.77833,-3.31166,OBIS,Global Occurrences
Isopora crateriformis,43.49271944,-11.94319167,OBIS,Global Occurrences
Isopora crateriformis,-170.7502441,-14.36023998,OBIS,Global Occurrences
Isopora crateriformis,41.4,-1.8,OBIS,Global Occurrences
Isopora crateriformis,114.73153,5.02026,OBIS,Global Occurrences
Isopora crateriformis,-169.607696533,-14.1864004135,OBIS,Global Occurrences
Isopora crateriformis,39.75,-8.1,OBIS,Global Occurrences
Isopora crateriformis,51.5,-10.2,OBIS,Global Occurrences
Isopora crateriformis,55.4,-21.1,OBIS,Global Occurrences
Isopora crateriformis,-170.70451355,-14.3359498978,OBIS,Global Occurrences
Isopora crateriformis,-169.6076965,-14.18640041,OBIS,Global Occurrences
Isopora crateriformis,53.33,-5.41,OBIS,Global Occurrences
Isopora crateriformis,47.25,-11.55,OBIS,Global Occurrences
Isopora crateriformis,150.87305,-9.22553,OBIS,Global Occurrences
Isopora crateriformis,40.70554524,-14.37624048,OBIS,Global Occurrences
Isopora crateriformis,135.67,-2.95,OBIS,Global Occurrences
Isopora crateriformis,-170.564056396,-14.2855100632,OBIS,Global Occurrences
Isopora crateriformis,71.5,-6.2,OBIS,Global Occurrences
Isopora crateriformis,-169.4469452,-14.25115967,OBIS,Global Occurrences
Isopora crateriformis,-169.6556854,-14.16462994,OBIS,Global Occurrences
Isopora crateriformis,-170.5640564,-14.28551006,OBIS,Global Occurrences
Isopora crateriformis,43.33,11.5,OBIS,Global Occurrences
Isopora crateriformis,-169.6760254,-14.18459988,OBIS,Global Occurrences
Isopora crateriformis,40.92,-2.36,OBIS,Global Occurrences
Isopora crateriformis,-170.750244141,-14.3602399826,OBIS,Global Occurrences
Isopora crateriformis,46.28,-9.4,OBIS,Global Occurrences
Isopora crateriformis,40.45,-10.27,OBIS,Global Occurrences
Isopora crateriformis,39.6,-8.5,OBIS,Global Occurrences
Isopora crateriformis,-169.65,-14.18333,OBIS,Global Occurrences
Isopora crateriformis,39.73,-4.02,OBIS,Global Occurrences
Isopora crateriformis,-170.7045135,-14.3359499,OBIS,Global Occurrences
Isopora crateriformis,40.68509524,-11.0149619,OBIS,Global Occurrences
Isopora crateriformis,45.12,-12.78,OBIS,Global Occurrences
Isopora crateriformis,49.72,-12.76,OBIS,Global Occurrences
Isopora crateriformis,178.528867,-18.6985,OBIS,Global Occurrences
Isopora crateriformis,-169.655685425,-14.1646299362,OBIS,Global Occurrences
Isopora crateriformis,-169.676025,-14.1846,GBIF,Central 50% Range
Isopora crateriformis,-169.607696,-14.1864,GBIF,Central 50% Range
Isopora crateriformis,-169.655685,-14.16463,GBIF,Central 50% Range
Isopora crateriformis,-169.446945,-14.25116,GBIF,Central 50% Range
Isopora crateriformis,-169.65,-14.183333,GBIF,Central 50% Range
Isopora crateriformis,40.53971,-12.94070333,OBIS,Central 50% Range
Isopora crateriformis,-169.44694519,-14.251159668,OBIS,Central 50% Range
Isopora crateriformis,49.07,-12.13,OBIS,Central 50% Range
Isopora crateriformis,43.49271944,-11.94319167,OBIS,Central 50% Range
Isopora crateriformis,-169.607696533,-14.1864004135,OBIS,Central 50% Range
Isopora crateriformis,51.5,-10.2,OBIS,Central 50% Range
Isopora crateriformis,-169.6076965,-14.18640041,OBIS,Central 50% Range
Isopora crateriformis,47.25,-11.55,OBIS,Central 50% Range
Isopora crateriformis,-169.4469452,-14.25115967,OBIS,Central 50% Range
Isopora crateriformis,-169.6556854,-14.16462994,OBIS,Central 50% Range
Isopora crateriformis,40.45,-10.27,OBIS,Central 50% Range
Isopora crateriformis,-169.65,-14.18333,OBIS,Central 50% Range
Isopora crateriformis,40.68509524,-11.0149619,OBIS,Central 50% Range
Isopora crateriformis,45.12,-12.78,OBIS,Central 50% Range
Isopora crateriformis,49.72,-12.76,OBIS,Central 50% Range
Isopora crateriformis,-169.655685425,-14.1646299362,OBIS,Central 50% Range
Isopora crateriformis,164.473,-20.2166,GBIF,Central 80% Range
Isopora crateriformis,-169.676025,-14.1846,GBIF,Central 80% Range
Isopora crateriformis,-170.704513,-14.33595,GBIF,Central 80% Range
Isopora crateriformis,-169.607696,-14.1864,GBIF,Central 80% Range
Isopora crateriformis,-169.655685,-14.16463,GBIF,Central 80% Range
Isopora crateriformis,-169.446945,-14.25116,GBIF,Central 80% Range
Isopora crateriformis,-170.561508,-14.26753,GBIF,Central 80% Range
Isopora crateriformis,-170.564056,-14.28551,GBIF,Central 80% Range
Isopora crateriformis,150.87305,-9.225533,GBIF,Central 80% Range
Isopora crateriformis,-169.65,-14.183333,GBIF,Central 80% Range
Isopora crateriformis,132.778333,-3.311667,GBIF,Central 80% Range
Isopora crateriformis,40.53971,-12.94070333,OBIS,Central 80% Range
Isopora crateriformis,59.63,-16.61,OBIS,Central 80% Range
Isopora crateriformis,-169.44694519,-14.251159668,OBIS,Central 80% Range
Isopora crateriformis,-170.561508179,-14.2675304413,OBIS,Central 80% Range
Isopora crateriformis,49.07,-12.13,OBIS,Central 80% Range
Isopora crateriformis,-169.676025391,-14.1845998764,OBIS,Central 80% Range
Isopora crateriformis,-170.5615082,-14.26753044,OBIS,Central 80% Range
Isopora crateriformis,132.77833,-3.31166,OBIS,Central 80% Range
Isopora crateriformis,43.49271944,-11.94319167,OBIS,Central 80% Range
Isopora crateriformis,-169.607696533,-14.1864004135,OBIS,Central 80% Range
Isopora crateriformis,39.75,-8.1,OBIS,Central 80% Range
Isopora crateriformis,51.5,-10.2,OBIS,Central 80% Range
Isopora crateriformis,-169.6076965,-14.18640041,OBIS,Central 80% Range
Isopora crateriformis,53.33,-5.41,OBIS,Central 80% Range
Isopora crateriformis,47.25,-11.55,OBIS,Central 80% Range
Isopora crateriformis,150.87305,-9.22553,OBIS,Central 80% Range
Isopora crateriformis,40.70554524,-14.37624048,OBIS,Central 80% Range
Isopora crateriformis,-170.564056396,-14.2855100632,OBIS,Central 80% Range
Isopora crateriformis,71.5,-6.2,OBIS,Central 80% Range
Isopora crateriformis,-169.4469452,-14.25115967,OBIS,Central 80% Range
Isopora crateriformis,-169.6556854,-14.16462994,OBIS,Central 80% Range
Isopora crateriformis,-170.5640564,-14.28551006,OBIS,Central 80% Range
Isopora crateriformis,-169.6760254,-14.18459988,OBIS,Central 80% Range
Isopora crateriformis,46.28,-9.4,OBIS,Central 80% Range
Isopora crateriformis,40.45,-10.27,OBIS,Central 80% Range
Isopora crateriformis,39.6,-8.5,OBIS,Central 80% Range
Isopora crateriformis,-169.65,-14.18333,OBIS,Central 80% Range
Isopora crateriformis,39.73,-4.02,OBIS,Central 80% Range
Isopora crateriformis,-170.7045135,-14.3359499,OBIS,Central 80% Range
Isopora crateriformis,40.68509524,-11.0149619,OBIS,Central 80% Range
Isopora crateriformis,45.12,-12.78,OBIS,Central 80% Range
Isopora crateriformis,49.72,-12.76,OBIS,Central 80% Range
Isopora crateriformis,-169.655685425,-14.1646299362,OBIS,Central 80% Range
