Scientific.Name,Longitude,Latitude
Acropora globiceps,136.07694,20.42219
Acropora globiceps,158.382,-19.9194
Acropora globiceps,166.585,-22.62333
Acropora globiceps,163.973,-19.6419
Acropora globiceps,158.382,-19.9201
Acropora globiceps,-149.84602,-17.47614
Acropora globiceps,159.068333,-31.51
Acropora globiceps,-149.666667,-17.583333
Acropora globiceps,-149.833333,-17.583333
Acropora globiceps,-169.916667,-19
Acropora globiceps,-151.75,-16.5
Acropora globiceps,151.416667,-17.65
Acropora globiceps,-157.25,-20.166667
Acropora globiceps,-159.75,-21.083333
Acropora globiceps,-159.833333,-18.833333
Acropora globiceps,-128,-24.333333
Acropora globiceps,-124.666667,-25
