Scientific.Name,Longitude,Latitude
Isopora crateriformis,166.443,-21.6233
Isopora crateriformis,165.23703,-21.55022
Isopora crateriformis,164.473,-20.2166
Isopora crateriformis,166.397,-20.7244
Isopora crateriformis,166.445,-21.6235
Isopora crateriformis,-170.750244,-14.36024
Isopora crateriformis,-170.788818,-14.34288
Isopora crateriformis,-169.676025,-14.1846
Isopora crateriformis,-170.704513,-14.33595
Isopora crateriformis,-169.607696,-14.1864
Isopora crateriformis,-169.655685,-14.16463
Isopora crateriformis,-169.446945,-14.25116
Isopora crateriformis,-170.561508,-14.26753
Isopora crateriformis,-170.564056,-14.28551
Isopora crateriformis,150.87305,-9.225533
Isopora crateriformis,114.731533,5.020258
Isopora crateriformis,-169.65,-14.183333
Isopora crateriformis,132.778333,-3.311667
Isopora crateriformis,135.67,-2.95
Isopora crateriformis,153.548333,-27.39
