fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.854,0.822,0.135,0.06,0.78,0.114,0.383,0.36,0.167,0.236,0.117,0.162,320.95,16.825,0,9
LQ,1,fc.LQ_rm.1,0.925,0.805,0.126,0.091,0.821,0.111,0.511,0.258,0.283,0.389,0.117,0.162,346.45,42.325,0,12
H,1,fc.H_rm.1,0.953,0.767,0.098,0.102,0.87,0.104,0.656,0.221,0.333,0.358,0.333,0.358,NA,NA,NA,21
LQH,1,fc.LQH_rm.1,0.956,0.867,0.103,0.118,0.866,0.122,0.62,0.3,0.333,0.358,0.333,0.358,NA,NA,NA,24
LQHP,1,fc.LQHP_rm.1,0.955,0.823,0.104,0.106,0.867,0.111,0.579,0.308,0.383,0.315,0.333,0.358,NA,NA,NA,30
LQHPT,1,fc.LQHPT_rm.1,0.955,0.823,0.104,0.106,0.867,0.111,0.577,0.308,0.383,0.315,0.333,0.358,NA,NA,NA,30
L,2,fc.L_rm.2,0.832,0.871,0.136,0.057,0.761,0.11,0.441,0.301,0.267,0.181,0.117,0.162,322.301,18.176,0,8
LQ,2,fc.LQ_rm.2,0.868,0.89,0.131,0.07,0.793,0.11,0.493,0.161,0.167,0.156,0.067,0.149,311.211,7.086,0.02,8
H,2,fc.H_rm.2,0.934,0.73,0.11,0.092,0.844,0.104,0.639,0.118,0.333,0.358,0.167,0.236,NA,NA,NA,19
LQH,2,fc.LQH_rm.2,0.936,0.847,0.107,0.09,0.857,0.107,0.772,0.126,0.283,0.298,0.167,0.236,527.357,223.231,0,15
LQHP,2,fc.LQHP_rm.2,0.939,0.856,0.112,0.102,0.85,0.113,0.726,0.188,0.333,0.358,0.167,0.236,426.745,122.62,0,14
LQHPT,2,fc.LQHPT_rm.2,0.939,0.856,0.112,0.102,0.85,0.113,0.726,0.188,0.333,0.358,0.167,0.236,426.745,122.62,0,14
L,3,fc.L_rm.3,0.809,0.807,0.143,0.052,0.729,0.135,0.465,0.43,0.267,0.181,0.15,0.224,314.163,10.037,0.005,5
LQ,3,fc.LQ_rm.3,0.857,0.855,0.144,0.081,0.766,0.125,0.563,0.254,0.167,0.156,0.067,0.149,317.931,13.806,0.001,8
H,3,fc.H_rm.3,0.916,0.85,0.122,0.103,0.809,0.114,0.496,0.285,0.333,0.358,0.167,0.236,NA,NA,NA,17
LQH,3,fc.LQH_rm.3,0.923,0.945,0.115,0.092,0.839,0.109,0.758,0.208,0.333,0.358,0.217,0.217,309.922,5.796,0.039,9
LQHP,3,fc.LQHP_rm.3,0.926,0.932,0.111,0.093,0.836,0.106,0.742,0.186,0.333,0.358,0.167,0.236,542.166,238.041,0,15
LQHPT,3,fc.LQHPT_rm.3,0.926,0.932,0.111,0.093,0.836,0.106,0.742,0.186,0.333,0.358,0.167,0.236,NA,NA,NA,17
L,4,fc.L_rm.4,0.794,0.851,0.137,0.099,0.537,0.079,NA,NA,0.267,0.181,0.1,0.137,316.489,12.364,0.001,4
LQ,4,fc.LQ_rm.4,0.844,0.844,0.165,0.103,0.725,0.156,0.335,0.523,0.117,0.162,0.117,0.162,317.964,13.839,0.001,7
H,4,fc.H_rm.4,0.886,0.921,0.105,0.111,0.81,0.121,0.552,0.361,0.233,0.273,0.183,0.291,320.452,16.326,0,8
LQH,4,fc.LQH_rm.4,0.915,0.944,0.125,0.102,0.82,0.127,0.754,0.162,0.233,0.273,0.167,0.156,304.125,0,0.707,7
LQHP,4,fc.LQHP_rm.4,0.911,0.977,0.099,0.09,0.83,0.107,0.733,0.245,0.233,0.273,0.117,0.162,323.661,19.536,0,9
LQHPT,4,fc.LQHPT_rm.4,0.911,0.977,0.099,0.09,0.83,0.107,0.733,0.245,0.233,0.273,0.117,0.162,323.661,19.536,0,9
L,5,fc.L_rm.5,0.758,0.948,0.1,0.14,0.479,0.05,NA,NA,0.3,0.447,0.25,0.433,318.32,14.194,0.001,3
LQ,5,fc.LQ_rm.5,0.828,0.639,0.172,0.108,0.676,0.162,0.145,0.618,0.233,0.273,0.117,0.162,317.884,13.759,0.001,6
H,5,fc.H_rm.5,0.883,0.89,0.115,0.131,0.759,0.125,NA,NA,0.3,0.411,0.133,0.298,310.976,6.85,0.023,5
LQH,5,fc.LQH_rm.5,0.906,0.866,0.154,0.117,0.771,0.157,0.671,0.369,0.283,0.298,0.233,0.273,306.662,2.536,0.199,6
LQHP,5,fc.LQHP_rm.5,0.904,0.969,0.126,0.12,0.777,0.13,NA,NA,0.233,0.273,0.133,0.298,317.723,13.597,0.001,7
LQHPT,5,fc.LQHPT_rm.5,0.904,0.969,0.126,0.12,0.777,0.13,NA,NA,0.233,0.273,0.133,0.298,317.723,13.597,0.001,7
