fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.927,0.891,0.102,0.078,0.894,0.114,0.656,0.263,0.083,0.167,0.083,0.167,338.188,27.038,0,8
LQ,1,fc.LQ_rm.1,0.96,0.955,0.077,0.078,0.921,0.099,0.848,0.166,0.133,0.163,0.133,0.163,354.836,43.686,0,13
H,1,fc.H_rm.1,0.971,0.954,0.06,0.046,0.926,0.069,0.394,0.449,0.183,0.213,0.092,0.107,NA,NA,NA,21
LQH,1,fc.LQH_rm.1,0.972,0.894,0.061,0.073,0.929,0.082,0.328,0.532,0.175,0.236,0.133,0.163,NA,NA,NA,22
LQHP,1,fc.LQHP_rm.1,0.972,0.941,0.073,0.089,0.919,0.096,0.452,0.448,0.308,0.398,0.133,0.163,NA,NA,NA,21
LQHPT,1,fc.LQHPT_rm.1,0.972,0.941,0.073,0.089,0.919,0.096,0.452,0.448,0.308,0.398,0.133,0.163,NA,NA,NA,21
L,2,fc.L_rm.2,0.92,0.873,0.093,0.088,0.901,0.113,0.518,0.432,0.083,0.167,0.083,0.167,343.482,32.332,0,8
LQ,2,fc.LQ_rm.2,0.949,0.792,0.092,0.094,0.909,0.121,0.304,0.537,0.083,0.167,0.083,0.167,345.617,34.468,0,11
H,2,fc.H_rm.2,0.965,0.914,0.068,0.045,0.916,0.083,0.558,0.566,0.092,0.107,0.05,0.1,339.55,28.4,0,12
LQH,2,fc.LQH_rm.2,0.967,0.934,0.06,0.059,0.933,0.074,0.482,0.499,0.133,0.163,0.133,0.163,349.828,38.678,0,13
LQHP,2,fc.LQHP_rm.2,0.967,0.924,0.079,0.082,0.916,0.097,0.588,0.463,0.175,0.236,0.133,0.163,388.678,77.528,0,15
LQHPT,2,fc.LQHPT_rm.2,0.967,0.924,0.079,0.082,0.916,0.097,0.588,0.463,0.175,0.236,0.133,0.163,388.678,77.528,0,15
L,3,fc.L_rm.3,0.904,0.832,0.096,0.082,0.901,0.111,0.749,0.117,0.083,0.167,0.083,0.167,339.2,28.05,0,6
LQ,3,fc.LQ_rm.3,0.925,0.825,0.101,0.095,0.9,0.117,0.555,0.26,0.083,0.167,0.083,0.167,352.618,41.469,0,10
H,3,fc.H_rm.3,0.96,0.864,0.084,0.063,0.901,0.104,0.628,0.478,0.133,0.163,0.092,0.107,311.15,0,0.999,7
LQH,3,fc.LQH_rm.3,0.96,0.928,0.073,0.077,0.922,0.094,0.552,0.325,0.133,0.163,0.133,0.163,326.645,15.495,0,10
LQHP,3,fc.LQHP_rm.3,0.961,0.918,0.083,0.081,0.913,0.103,0.742,0.187,0.133,0.163,0.133,0.163,346.144,34.994,0,12
LQHPT,3,fc.LQHPT_rm.3,0.961,0.918,0.083,0.081,0.913,0.103,0.742,0.187,0.133,0.163,0.133,0.163,346.144,34.994,0,12
L,4,fc.L_rm.4,0.9,0.783,0.092,0.081,0.898,0.107,0.649,0.316,0.083,0.167,0.083,0.167,338.818,27.668,0,5
LQ,4,fc.LQ_rm.4,0.901,0.823,0.105,0.092,0.9,0.117,0.803,0.173,0.083,0.167,0.083,0.167,354.669,43.519,0,9
H,4,fc.H_rm.4,0.955,0.851,0.102,0.085,0.883,0.128,0.749,0.237,0.133,0.163,0.133,0.163,337.364,26.214,0,10
LQH,4,fc.LQH_rm.4,0.955,0.893,0.08,0.086,0.916,0.105,0.698,0.253,0.133,0.163,0.133,0.163,333.916,22.766,0,10
LQHP,4,fc.LQHP_rm.4,0.958,0.823,0.093,0.094,0.901,0.121,0.776,0.161,0.133,0.163,0.133,0.163,327.943,16.793,0,9
LQHPT,4,fc.LQHPT_rm.4,0.958,0.823,0.093,0.094,0.901,0.121,0.776,0.161,0.133,0.163,0.133,0.163,327.943,16.793,0,9
L,5,fc.L_rm.5,0.898,0.716,0.089,0.08,0.895,0.104,0.748,0.11,0.083,0.167,0.083,0.167,342.611,31.461,0,5
LQ,5,fc.LQ_rm.5,0.899,0.804,0.107,0.09,0.9,0.116,0.803,0.253,0.083,0.167,0.083,0.167,357.763,46.613,0,9
H,5,fc.H_rm.5,0.95,0.859,0.117,0.105,0.869,0.156,0.866,0.16,0.133,0.163,0.133,0.163,339.369,28.22,0,9
LQH,5,fc.LQH_rm.5,0.949,0.885,0.088,0.092,0.911,0.116,0.827,0.138,0.133,0.163,0.083,0.167,350.213,39.063,0,11
LQHP,5,fc.LQHP_rm.5,0.955,0.661,0.103,0.108,0.891,0.14,0.829,0.14,0.133,0.163,0.083,0.167,351.833,40.683,0,11
LQHPT,5,fc.LQHPT_rm.5,0.955,0.661,0.103,0.108,0.891,0.14,0.829,0.14,0.133,0.163,0.083,0.167,351.833,40.683,0,11
