fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.901,0.823,0.11,0.06,0.847,0.134,0.464,0.444,0.25,0.319,0.167,0.192,345.686,61.685,0,8
LQ,1,fc.LQ_rm.1,0.943,0.81,0.125,0.08,0.855,0.138,0.858,0.095,0.333,0.385,0.333,0.385,NA,NA,NA,12
H,1,fc.H_rm.1,0.955,0.75,0.143,0.126,0.858,0.166,NA,NA,0.333,0.385,0.333,0.385,NA,NA,NA,18
LQH,1,fc.LQH_rm.1,0.958,0.574,0.123,0.099,0.876,0.139,NA,NA,0.333,0.385,0.333,0.385,NA,NA,NA,18
LQHP,1,fc.LQHP_rm.1,0.954,0.752,0.108,0.072,0.893,0.115,NA,NA,0.333,0.385,0.333,0.385,NA,NA,NA,16
LQHPT,1,fc.LQHPT_rm.1,0.958,0.622,0.103,0.07,0.896,0.111,NA,NA,0.333,0.385,0.25,0.319,NA,NA,NA,19
L,2,fc.L_rm.2,0.882,0.787,0.129,0.089,0.8,0.127,0.657,0.246,0.25,0.319,0.25,0.319,300.074,16.073,0,6
LQ,2,fc.LQ_rm.2,0.896,0.759,0.131,0.083,0.835,0.14,0.864,0.127,0.25,0.319,0.25,0.319,458.101,174.1,0,9
H,2,fc.H_rm.2,0.924,0.643,0.171,0.096,0.846,0.175,NA,NA,0.333,0.385,0.333,0.385,445.183,161.182,0,9
LQH,2,fc.LQH_rm.2,0.937,0.273,0.111,0.05,0.895,0.112,NA,NA,0.333,0.385,0.333,0.385,NA,NA,NA,13
LQHP,2,fc.LQHP_rm.2,0.931,0.573,0.14,0.063,0.875,0.136,NA,NA,0.333,0.385,0.333,0.385,NA,NA,NA,11
LQHPT,2,fc.LQHPT_rm.2,0.931,0.573,0.14,0.063,0.875,0.136,NA,NA,0.333,0.385,0.333,0.385,NA,NA,NA,11
L,3,fc.L_rm.3,0.86,0.831,0.111,0.103,0.707,0.018,0.025,0.314,0.5,0.333,0.25,0.319,290.711,6.71,0.008,4
LQ,3,fc.LQ_rm.3,0.891,0.758,0.145,0.082,0.781,0.113,0.64,0.388,0.417,0.319,0.25,0.319,289.008,5.007,0.018,5
H,3,fc.H_rm.3,0.887,0.714,0.247,0.115,0.79,0.239,NA,NA,0.333,0.385,0.25,0.319,343.706,59.705,0,8
LQH,3,fc.LQH_rm.3,0.927,0.579,0.152,0.076,0.86,0.155,0.587,0.535,0.333,0.385,0.25,0.319,303.263,19.262,0,7
LQHP,3,fc.LQHP_rm.3,0.916,0.555,0.199,0.1,0.823,0.198,0.591,0.605,0.333,0.385,0.25,0.319,341.608,57.607,0,8
LQHPT,3,fc.LQHPT_rm.3,0.916,0.555,0.199,0.1,0.823,0.198,0.591,0.605,0.333,0.385,0.25,0.319,341.608,57.607,0,8
L,4,fc.L_rm.4,0.709,0.724,0.1,0.093,0.692,0.045,-0.003,0.173,0.5,0.333,0.25,0.319,284.001,0,0.216,1
LQ,4,fc.LQ_rm.4,0.891,0.952,0.141,0.092,0.753,0.088,0.36,0.498,0.5,0.333,0.333,0.385,288.643,4.642,0.021,4
H,4,fc.H_rm.4,0.864,0.787,0.279,0.089,0.756,0.25,0.193,0.259,0.25,0.319,0.167,0.333,285.556,1.555,0.099,5
LQH,4,fc.LQH_rm.4,0.916,0.78,0.158,0.113,0.8,0.156,0.592,0.292,0.333,0.272,0.25,0.319,291.657,7.656,0.005,6
LQHP,4,fc.LQHP_rm.4,0.901,0.718,0.209,0.112,0.782,0.195,0.445,0.626,0.333,0.385,0.25,0.319,294.902,10.901,0.001,6
LQHPT,4,fc.LQHPT_rm.4,0.901,0.718,0.209,0.112,0.782,0.195,0.445,0.626,0.333,0.385,0.25,0.319,294.902,10.901,0.001,6
L,5,fc.L_rm.5,0.709,0.888,0.087,0.08,0.693,0.046,0.296,0.343,0.417,0.319,0.25,0.319,284.681,0.68,0.154,1
LQ,5,fc.LQ_rm.5,0.806,0.912,0.119,0.103,0.705,0.089,-0.016,0.543,0.417,0.319,0.25,0.319,285.28,1.279,0.114,2
H,5,fc.H_rm.5,0.784,0.918,0.207,0.151,0.644,0.209,NA,NA,0.167,0.333,0.167,0.333,293.747,9.746,0.002,5
LQH,5,fc.LQH_rm.5,0.876,0.774,0.175,0.123,0.736,0.139,0.261,0.55,0.5,0.333,0.25,0.319,300.301,16.3,0,6
LQHP,5,fc.LQHP_rm.5,0.886,0.804,0.196,0.149,0.724,0.17,0.434,0.723,0.417,0.319,0.25,0.319,284.354,0.353,0.181,4
LQHPT,5,fc.LQHPT_rm.5,0.886,0.804,0.196,0.149,0.724,0.17,0.434,0.723,0.417,0.319,0.25,0.319,284.354,0.353,0.181,4
