fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.812,0.661,0.239,0.165,0.687,0.234,0.696,0.235,0.262,0.377,0.212,0.284,505.763,28.496,0,9
LQ,1,fc.LQ_rm.1,0.921,0.768,0.203,0.173,0.769,0.199,NA,NA,0.262,0.377,0.262,0.377,485.046,7.78,0.01,10
H,1,fc.H_rm.1,0.954,0.779,0.16,0.151,0.821,0.173,NA,NA,0.412,0.357,0.312,0.342,NA,NA,NA,28
LQH,1,fc.LQH_rm.1,0.955,0.834,0.171,0.189,0.811,0.203,NA,NA,0.312,0.253,0.312,0.253,NA,NA,NA,28
LQHP,1,fc.LQHP_rm.1,0.956,0.869,0.181,0.191,0.8,0.209,NA,NA,0.363,0.335,0.262,0.25,NA,NA,NA,20
LQHPT,1,fc.LQHPT_rm.1,0.956,0.869,0.181,0.191,0.8,0.209,NA,NA,0.363,0.335,0.262,0.25,NA,NA,NA,20
L,2,fc.L_rm.2,0.798,0.678,0.211,0.171,0.699,0.228,0.732,0.25,0.262,0.377,0.212,0.284,488.969,11.702,0.001,5
LQ,2,fc.LQ_rm.2,0.878,0.703,0.197,0.183,0.758,0.201,0.66,0.245,0.262,0.377,0.212,0.284,490.335,13.069,0.001,9
H,2,fc.H_rm.2,0.926,0.873,0.157,0.181,0.806,0.198,0.798,0.146,0.2,0.283,0.2,0.283,1082.157,604.891,0,17
LQH,2,fc.LQH_rm.2,0.928,0.873,0.152,0.193,0.81,0.197,0.741,0.213,0.262,0.25,0.212,0.284,624.087,146.82,0,15
LQHP,2,fc.LQHP_rm.2,0.935,0.817,0.158,0.182,0.81,0.198,0.77,0.171,0.2,0.283,0.15,0.3,566.648,89.382,0,14
LQHPT,2,fc.LQHPT_rm.2,0.935,0.817,0.158,0.182,0.81,0.198,0.77,0.171,0.2,0.283,0.15,0.3,566.648,89.382,0,14
L,3,fc.L_rm.3,0.798,0.585,0.209,0.121,0.716,0.228,0.681,0.25,0.2,0.4,0.2,0.4,488.973,11.707,0.001,4
LQ,3,fc.LQ_rm.3,0.852,0.702,0.215,0.166,0.742,0.22,0.546,0.477,0.2,0.4,0.15,0.3,481.662,4.396,0.055,6
H,3,fc.H_rm.3,0.905,0.867,0.154,0.141,0.819,0.183,0.625,0.309,0.2,0.283,0.2,0.283,497.362,20.096,0,10
LQH,3,fc.LQH_rm.3,0.913,0.876,0.156,0.181,0.813,0.193,0.559,0.328,0.2,0.283,0.15,0.3,521.012,43.745,0,12
LQHP,3,fc.LQHP_rm.3,0.915,0.966,0.164,0.158,0.816,0.193,0.714,0.204,0.2,0.283,0.15,0.3,523.79,46.524,0,12
LQHPT,3,fc.LQHPT_rm.3,0.915,0.966,0.164,0.158,0.816,0.193,0.714,0.204,0.2,0.283,0.15,0.3,523.79,46.524,0,12
L,4,fc.L_rm.4,0.798,0.545,0.156,0.126,0.606,0.19,NA,NA,0.2,0.4,0.2,0.4,493.364,16.097,0,4
LQ,4,fc.LQ_rm.4,0.817,0.651,0.21,0.148,0.729,0.199,0.708,0.153,0.2,0.4,0.15,0.3,496.815,19.549,0,7
H,4,fc.H_rm.4,0.897,0.835,0.17,0.135,0.813,0.199,0.762,0.214,0.15,0.3,0.15,0.3,483.043,5.777,0.028,7
LQH,4,fc.LQH_rm.4,0.909,0.872,0.167,0.17,0.82,0.201,0.762,0.273,0.15,0.3,0.15,0.3,481.964,4.698,0.048,8
LQHP,4,fc.LQHP_rm.4,0.904,0.876,0.17,0.137,0.817,0.199,0.742,0.317,0.2,0.4,0.15,0.3,480.151,2.884,0.118,7
LQHPT,4,fc.LQHPT_rm.4,0.904,0.876,0.17,0.137,0.817,0.199,0.742,0.317,0.2,0.4,0.15,0.3,480.151,2.884,0.118,7
L,5,fc.L_rm.5,0.799,0.739,0.125,0.152,0.489,0.013,NA,NA,0.3,0.383,0.2,0.4,495.299,18.032,0,3
LQ,5,fc.LQ_rm.5,0.817,0.561,0.178,0.16,0.683,0.143,0.75,0.161,0.2,0.4,0.15,0.3,490.56,13.293,0.001,5
H,5,fc.H_rm.5,0.896,0.922,0.185,0.159,0.785,0.229,0.759,0.262,0.2,0.4,0.2,0.4,477.267,0,0.5,4
LQH,5,fc.LQH_rm.5,0.906,0.896,0.169,0.166,0.818,0.204,0.8,0.269,0.2,0.4,0.15,0.3,481.696,4.43,0.055,7
LQHP,5,fc.LQHP_rm.5,0.903,0.904,0.174,0.136,0.804,0.213,0.6,0.479,0.2,0.4,0.2,0.4,482.78,5.514,0.032,6
LQHPT,5,fc.LQHPT_rm.5,0.903,0.904,0.174,0.136,0.804,0.213,0.6,0.479,0.2,0.4,0.2,0.4,482.78,5.514,0.032,6
