fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.712,0.602,0.18,0.176,0.563,0.142,0.303,0.403,0.294,0.353,0.134,0.092,794.318,54.285,0,13
LQ,1,fc.LQ_rm.1,0.859,0.946,0.119,0.102,0.772,0.108,0.749,0.123,0.339,0.329,0.023,0.045,740.247,0.214,0.277,13
H,1,fc.H_rm.1,0.885,0.935,0.15,0.112,0.756,0.099,0.704,0.164,0.453,0.343,0.114,0.172,893.251,153.218,0,31
LQH,1,fc.LQH_rm.1,0.889,0.91,0.139,0.107,0.768,0.097,0.724,0.18,0.407,0.313,0.068,0.136,915.77,175.737,0,32
LQHP,1,fc.LQHP_rm.1,0.889,0.902,0.148,0.111,0.76,0.099,0.696,0.125,0.496,0.307,0.091,0.129,NA,NA,NA,45
LQHPT,1,fc.LQHPT_rm.1,0.89,0.891,0.144,0.106,0.764,0.093,0.698,0.123,0.496,0.307,0.091,0.129,1376.982,636.948,0,39
L,2,fc.L_rm.2,0.708,0.479,0.177,0.167,0.572,0.143,0.236,0.479,0.271,0.308,0.18,0.13,788.96,48.927,0,11
LQ,2,fc.LQ_rm.2,0.855,0.969,0.13,0.101,0.759,0.111,0.779,0.263,0.225,0.176,0.045,0.091,743.564,3.53,0.053,12
H,2,fc.H_rm.2,0.875,0.925,0.132,0.109,0.777,0.117,0.568,0.165,0.386,0.422,0.091,0.182,1098.627,358.593,0,36
LQH,2,fc.LQH_rm.2,0.877,0.942,0.141,0.108,0.771,0.119,0.705,0.115,0.339,0.253,0.045,0.091,787.714,47.681,0,23
LQHP,2,fc.LQHP_rm.2,0.878,0.944,0.136,0.104,0.773,0.116,0.639,0.164,0.364,0.393,0.091,0.182,774.301,34.268,0,21
LQHPT,2,fc.LQHPT_rm.2,0.878,0.944,0.136,0.104,0.773,0.116,0.639,0.164,0.364,0.393,0.091,0.182,760.528,20.494,0,19
L,3,fc.L_rm.3,0.705,0.63,0.174,0.138,0.598,0.148,0.188,0.428,0.18,0.077,0.114,0.087,780.4,40.367,0,8
LQ,3,fc.LQ_rm.3,0.842,0.963,0.137,0.096,0.752,0.119,0.69,0.279,0.203,0.174,0.045,0.091,749.015,8.982,0.003,11
H,3,fc.H_rm.3,0.864,0.933,0.109,0.096,0.8,0.108,0.525,0.237,0.318,0.41,0.023,0.045,751.469,11.436,0.001,15
LQH,3,fc.LQH_rm.3,0.87,0.948,0.128,0.103,0.782,0.118,0.716,0.11,0.294,0.241,0.045,0.091,749.847,9.813,0.002,16
LQHP,3,fc.LQHP_rm.3,0.867,0.961,0.114,0.085,0.789,0.1,0.532,0.248,0.341,0.395,0.023,0.045,740.033,0,0.308,13
LQHPT,3,fc.LQHPT_rm.3,0.867,0.961,0.115,0.085,0.789,0.1,0.532,0.261,0.341,0.395,0.023,0.045,740.033,0,0.308,13
L,4,fc.L_rm.4,0.701,0.699,0.162,0.111,0.626,0.144,0.124,0.395,0.157,0.089,0.091,0.074,781.753,41.72,0,8
LQ,4,fc.LQ_rm.4,0.824,0.882,0.138,0.094,0.738,0.12,0.64,0.281,0.18,0.13,0.045,0.091,745.517,5.483,0.02,7
H,4,fc.H_rm.4,0.857,0.93,0.095,0.095,0.806,0.102,0.33,0.445,0.318,0.41,0.023,0.045,750.528,10.494,0.002,13
LQH,4,fc.LQH_rm.4,0.864,0.951,0.112,0.09,0.799,0.107,0.694,0.134,0.227,0.216,0.045,0.091,747.108,7.075,0.009,14
LQHP,4,fc.LQHP_rm.4,0.863,0.974,0.098,0.079,0.801,0.092,0.391,0.41,0.341,0.395,0.023,0.045,752.02,11.986,0.001,14
LQHPT,4,fc.LQHPT_rm.4,0.863,0.974,0.098,0.079,0.801,0.092,0.391,0.41,0.341,0.395,0.023,0.045,752.02,11.986,0.001,14
L,5,fc.L_rm.5,0.696,0.778,0.166,0.087,0.646,0.144,0.17,0.353,0.157,0.089,0.068,0.087,783.287,43.254,0,8
LQ,5,fc.LQ_rm.5,0.797,0.863,0.153,0.124,0.694,0.16,0.562,0.309,0.134,0.055,0.045,0.091,752.711,12.677,0.001,6
H,5,fc.H_rm.5,0.852,0.901,0.081,0.083,0.807,0.086,0.48,0.185,0.205,0.202,0.023,0.045,746.473,6.439,0.012,10
LQH,5,fc.LQH_rm.5,0.855,0.923,0.099,0.075,0.809,0.095,0.675,0.214,0.182,0.196,0.045,0.091,750.061,10.028,0.002,13
LQHP,5,fc.LQHP_rm.5,0.856,0.952,0.084,0.077,0.805,0.084,0.343,0.333,0.182,0.166,0.023,0.045,759.752,19.718,0,14
LQHPT,5,fc.LQHPT_rm.5,0.856,0.952,0.084,0.075,0.806,0.083,0.343,0.333,0.182,0.166,0.023,0.045,759.752,19.718,0,14
