fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.707,0.596,0.095,0.071,0.632,0.072,0.266,0.335,0.147,0.152,0.04,0.06,1269.622,85.758,0,14
LQ,1,fc.LQ_rm.1,0.852,0.971,0.045,0.041,0.814,0.035,0.793,0.095,0.123,0.055,0.013,0.03,1184.128,0.264,0.381,16
H,1,fc.H_rm.1,0.878,0.957,0.049,0.042,0.832,0.036,0.713,0.12,0.15,0.058,0.028,0.038,1250.033,66.169,0,35
LQH,1,fc.LQH_rm.1,0.877,0.963,0.054,0.049,0.826,0.041,0.738,0.075,0.164,0.06,0.013,0.03,1265.147,81.283,0,37
LQHP,1,fc.LQHP_rm.1,0.883,0.943,0.054,0.043,0.831,0.035,0.757,0.069,0.163,0.074,0.013,0.03,1297.539,113.675,0,41
LQHPT,1,fc.LQHPT_rm.1,0.885,0.933,0.053,0.043,0.832,0.035,0.764,0.076,0.163,0.074,0.013,0.03,1292.209,108.345,0,41
L,2,fc.L_rm.2,0.699,0.638,0.103,0.068,0.614,0.071,0.184,0.377,0.12,0.119,0.04,0.06,1266.736,82.873,0,12
LQ,2,fc.LQ_rm.2,0.85,0.969,0.044,0.04,0.812,0.034,0.77,0.132,0.123,0.029,0.013,0.03,1183.864,0,0.435,14
H,2,fc.H_rm.2,0.867,0.94,0.045,0.039,0.826,0.035,0.672,0.169,0.124,0.06,0.028,0.038,1203.571,19.707,0,24
LQH,2,fc.LQH_rm.2,0.866,0.963,0.044,0.042,0.825,0.038,0.782,0.154,0.136,0.046,0.013,0.03,1199.697,15.833,0,24
LQHP,2,fc.LQHP_rm.2,0.869,0.967,0.048,0.039,0.825,0.036,0.663,0.22,0.164,0.06,0.013,0.03,1211.704,27.84,0,27
LQHPT,2,fc.LQHPT_rm.2,0.87,0.971,0.048,0.039,0.825,0.036,0.663,0.22,0.164,0.06,0.013,0.03,1216.186,32.323,0,28
L,3,fc.L_rm.3,0.698,0.682,0.101,0.068,0.612,0.07,0.149,0.489,0.134,0.105,0.04,0.06,1268.879,85.015,0,12
LQ,3,fc.LQ_rm.3,0.849,0.956,0.048,0.04,0.805,0.035,0.776,0.117,0.15,0.071,0.013,0.03,1185.846,1.982,0.161,13
H,3,fc.H_rm.3,0.858,0.954,0.043,0.038,0.819,0.034,0.695,0.087,0.137,0.051,0.028,0.038,1191.381,7.517,0.01,17
LQH,3,fc.LQH_rm.3,0.857,0.968,0.044,0.037,0.82,0.034,0.751,0.166,0.124,0.06,0.028,0.038,1210.211,26.347,0,24
LQHP,3,fc.LQHP_rm.3,0.859,0.966,0.048,0.039,0.817,0.037,0.656,0.213,0.11,0.065,0.028,0.038,1225.895,42.031,0,27
LQHPT,3,fc.LQHPT_rm.3,0.859,0.966,0.048,0.039,0.817,0.037,0.656,0.213,0.11,0.065,0.028,0.038,1225.895,42.031,0,27
L,4,fc.L_rm.4,0.693,0.69,0.098,0.065,0.61,0.074,0.106,0.493,0.134,0.105,0.027,0.037,1271.437,87.573,0,12
LQ,4,fc.LQ_rm.4,0.848,0.948,0.055,0.041,0.795,0.039,0.746,0.171,0.164,0.058,0.013,0.03,1191.897,8.033,0.008,13
H,4,fc.H_rm.4,0.849,0.957,0.042,0.034,0.814,0.031,0.578,0.14,0.11,0.08,0.028,0.038,1202.369,18.505,0,16
LQH,4,fc.LQH_rm.4,0.852,0.961,0.045,0.036,0.814,0.034,0.777,0.158,0.137,0.051,0.028,0.038,1205.232,21.368,0,21
LQHP,4,fc.LQHP_rm.4,0.853,0.977,0.049,0.035,0.811,0.037,0.693,0.134,0.097,0.066,0.028,0.038,1212.111,28.247,0,22
LQHPT,4,fc.LQHPT_rm.4,0.853,0.977,0.049,0.035,0.811,0.037,0.693,0.134,0.097,0.066,0.028,0.038,1212.111,28.247,0,22
L,5,fc.L_rm.5,0.689,0.674,0.1,0.064,0.607,0.078,0.112,0.452,0.12,0.119,0.027,0.037,1270.364,86.5,0,11
LQ,5,fc.LQ_rm.5,0.846,0.952,0.061,0.044,0.783,0.048,0.615,0.177,0.19,0.07,0.013,0.03,1199.074,15.21,0,13
H,5,fc.H_rm.5,0.839,0.865,0.039,0.032,0.806,0.029,0.456,0.337,0.11,0.093,0.028,0.038,1210.355,26.491,0,14
LQH,5,fc.LQH_rm.5,0.847,0.963,0.046,0.035,0.809,0.035,0.754,0.137,0.137,0.051,0.028,0.038,1193.645,9.782,0.003,16
LQHP,5,fc.LQHP_rm.5,0.848,0.986,0.048,0.029,0.806,0.037,0.626,0.241,0.11,0.065,0.028,0.038,1197.766,13.902,0,16
LQHPT,5,fc.LQHPT_rm.5,0.848,0.986,0.048,0.029,0.806,0.037,0.626,0.241,0.11,0.065,0.028,0.038,1197.766,13.902,0,16
