fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.702,0.643,0.097,0.071,0.626,0.072,0.252,0.309,0.134,0.105,0.04,0.089,1269.971,84.881,0,14
LQ,1,fc.LQ_rm.1,0.85,0.973,0.046,0.042,0.81,0.035,0.785,0.143,0.136,0.046,0.013,0.03,1186.015,0.925,0.302,16
H,1,fc.H_rm.1,0.876,0.954,0.053,0.04,0.826,0.033,0.782,0.133,0.15,0.054,0.028,0.038,1268.626,83.535,0,37
LQH,1,fc.LQH_rm.1,0.875,0.957,0.055,0.046,0.824,0.038,0.76,0.126,0.163,0.074,0.028,0.038,1251.038,65.948,0,35
LQHP,1,fc.LQHP_rm.1,0.881,0.958,0.054,0.041,0.83,0.033,0.791,0.058,0.15,0.054,0.013,0.03,1244.734,59.644,0,35
LQHPT,1,fc.LQHPT_rm.1,0.882,0.968,0.055,0.041,0.829,0.034,0.782,0.061,0.15,0.054,0.013,0.03,1268.412,83.322,0,38
L,2,fc.L_rm.2,0.696,0.637,0.102,0.07,0.612,0.07,0.233,0.35,0.134,0.105,0.04,0.06,1264.087,78.997,0,11
LQ,2,fc.LQ_rm.2,0.848,0.981,0.046,0.041,0.808,0.034,0.745,0.117,0.136,0.046,0.013,0.03,1185.09,0,0.479,14
H,2,fc.H_rm.2,0.866,0.948,0.048,0.041,0.821,0.035,0.687,0.229,0.15,0.058,0.028,0.038,1209.431,24.34,0,25
LQH,2,fc.LQH_rm.2,0.864,0.966,0.047,0.043,0.821,0.038,0.789,0.124,0.136,0.046,0.028,0.038,1220.298,35.208,0,28
LQHP,2,fc.LQHP_rm.2,0.869,0.974,0.048,0.042,0.822,0.036,0.753,0.166,0.15,0.058,0.028,0.038,1235.385,50.295,0,31
LQHPT,2,fc.LQHPT_rm.2,0.869,0.974,0.048,0.042,0.822,0.036,0.753,0.166,0.15,0.058,0.028,0.038,1235.388,50.298,0,31
L,3,fc.L_rm.3,0.693,0.687,0.099,0.067,0.613,0.071,0.102,0.499,0.134,0.105,0.04,0.06,1268.892,83.801,0,12
LQ,3,fc.LQ_rm.3,0.848,0.972,0.049,0.043,0.801,0.035,0.721,0.129,0.15,0.071,0.013,0.03,1186.875,1.785,0.196,13
H,3,fc.H_rm.3,0.857,0.973,0.045,0.04,0.817,0.036,0.679,0.225,0.124,0.06,0.028,0.038,1198.987,13.897,0,19
LQH,3,fc.LQH_rm.3,0.857,0.973,0.047,0.039,0.816,0.037,0.787,0.122,0.15,0.088,0.028,0.038,1193.966,8.876,0.006,20
LQHP,3,fc.LQHP_rm.3,0.859,0.954,0.048,0.038,0.818,0.038,0.706,0.175,0.124,0.06,0.028,0.038,1207.236,22.146,0,23
LQHPT,3,fc.LQHPT_rm.3,0.859,0.954,0.048,0.038,0.818,0.038,0.706,0.175,0.124,0.06,0.028,0.038,1207.236,22.146,0,23
L,4,fc.L_rm.4,0.686,0.786,0.098,0.063,0.61,0.074,0.108,0.463,0.134,0.105,0.04,0.06,1265.723,80.632,0,10
LQ,4,fc.LQ_rm.4,0.847,0.964,0.055,0.044,0.792,0.04,0.72,0.159,0.19,0.07,0.013,0.03,1192.943,7.853,0.009,13
H,4,fc.H_rm.4,0.849,0.936,0.045,0.034,0.814,0.035,0.573,0.188,0.084,0.079,0.028,0.038,1199.106,14.016,0,15
LQH,4,fc.LQH_rm.4,0.851,0.968,0.047,0.038,0.811,0.035,0.741,0.169,0.15,0.058,0.028,0.038,1198.182,13.092,0.001,19
LQHP,4,fc.LQHP_rm.4,0.853,0.978,0.049,0.033,0.813,0.039,0.704,0.072,0.097,0.066,0.028,0.038,1208.304,23.213,0,21
LQHPT,4,fc.LQHPT_rm.4,0.853,0.978,0.049,0.033,0.813,0.039,0.704,0.072,0.097,0.066,0.028,0.038,1208.304,23.213,0,21
L,5,fc.L_rm.5,0.684,0.847,0.099,0.062,0.607,0.077,0.117,0.457,0.134,0.105,0.04,0.06,1267.269,82.179,0,10
LQ,5,fc.LQ_rm.5,0.845,0.965,0.061,0.045,0.782,0.048,0.646,0.187,0.204,0.091,0.013,0.03,1200.108,15.017,0,13
H,5,fc.H_rm.5,0.838,0.895,0.04,0.036,0.804,0.033,0.479,0.255,0.11,0.093,0.028,0.038,1206.54,21.45,0,13
LQH,5,fc.LQH_rm.5,0.846,0.973,0.047,0.036,0.807,0.036,0.794,0.113,0.137,0.051,0.028,0.038,1194.658,9.568,0.004,16
LQHP,5,fc.LQHP_rm.5,0.847,0.982,0.048,0.027,0.808,0.038,0.659,0.206,0.11,0.065,0.028,0.038,1198.271,13.181,0.001,16
LQHPT,5,fc.LQHPT_rm.5,0.847,0.982,0.048,0.027,0.808,0.038,0.659,0.206,0.11,0.065,0.028,0.038,1198.271,13.181,0.001,16
