fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.715,0.876,0.207,0.19,0.562,0.201,0.004,0.699,0.25,0.41,0.25,0.41,334.785,18.691,0,10
LQ,1,fc.LQ_rm.1,0.749,0.89,0.239,0.179,0.568,0.225,-0.003,0.511,0.321,0.41,0.286,0.404,335.43,19.336,0,11
H,1,fc.H_rm.1,0.816,0.851,0.295,0.171,0.611,0.234,0.452,0.219,0.571,0.508,0.429,0.508,NA,NA,NA,37
LQH,1,fc.LQH_rm.1,0.815,0.929,0.295,0.168,0.608,0.235,0.278,0.139,0.571,0.508,0.429,0.508,728.786,412.692,0,24
LQHP,1,fc.LQHP_rm.1,0.827,0.875,0.297,0.182,0.602,0.228,0.383,0.201,0.571,0.508,0.464,0.539,NA,NA,NA,35
LQHPT,1,fc.LQHPT_rm.1,0.827,0.872,0.298,0.183,0.601,0.229,0.405,0.166,0.571,0.508,0.464,0.539,NA,NA,NA,34
L,2,fc.L_rm.2,0.707,0.822,0.206,0.137,0.557,0.19,-0.025,0.556,0.214,0.247,0.107,0.214,337.244,21.15,0,10
LQ,2,fc.LQ_rm.2,0.71,0.922,0.213,0.169,0.561,0.195,0.141,0.459,0.286,0.481,0.179,0.27,342.553,26.459,0,11
H,2,fc.H_rm.2,0.79,0.927,0.272,0.179,0.54,0.139,0.117,0.35,0.619,0.36,0.333,0.459,536.973,220.879,0,22
LQH,2,fc.LQH_rm.2,0.79,0.895,0.231,0.148,0.638,0.2,0.312,0.39,0.393,0.393,0.214,0.34,401.663,85.569,0,18
LQHP,2,fc.LQHP_rm.2,0.792,0.864,0.281,0.172,0.536,0.13,0.02,0.171,0.667,0.33,0.381,0.436,536.498,220.404,0,22
LQHPT,2,fc.LQHPT_rm.2,0.792,0.864,0.282,0.173,0.536,0.131,0.031,0.152,0.667,0.33,0.381,0.436,486.098,170.004,0,21
L,3,fc.L_rm.3,0.688,0.808,0.296,0.149,0.481,0.266,-0.136,0.579,0.5,0.34,0.107,0.137,327.062,10.967,0.001,7
LQ,3,fc.LQ_rm.3,0.685,0.922,0.224,0.148,0.553,0.218,0.005,0.624,0.25,0.41,0.071,0.143,326.753,10.659,0.002,7
H,3,fc.H_rm.3,0.761,0.828,0.286,0.138,0.51,0.088,-0.129,0.1,0.619,0.297,0.286,0.495,335.941,19.847,0,11
LQH,3,fc.LQH_rm.3,0.766,0.907,0.213,0.132,0.616,0.171,-0.124,0.2,0.464,0.393,0.214,0.429,323.901,7.807,0.007,9
LQHP,3,fc.LQHP_rm.3,0.762,0.922,0.269,0.12,0.521,0.072,-0.14,0.124,0.619,0.297,0.286,0.495,330.538,14.444,0,10
LQHPT,3,fc.LQHPT_rm.3,0.762,0.922,0.271,0.122,0.519,0.074,-0.118,0.09,0.619,0.297,0.286,0.495,330.538,14.444,0,10
L,4,fc.L_rm.4,0.678,0.859,0.251,0.15,0.431,0.158,-0.216,0.224,0.5,0.34,0.107,0.137,319.27,3.176,0.067,4
LQ,4,fc.LQ_rm.4,0.68,0.903,0.283,0.148,0.489,0.264,-0.077,0.419,0.464,0.317,0.071,0.143,318.793,2.699,0.084,4
H,4,fc.H_rm.4,0.733,0.783,0.218,0.142,0.556,0.126,0.036,0.26,0.536,0.393,0.143,0.286,326.563,10.468,0.002,8
LQH,4,fc.LQH_rm.4,0.75,0.944,0.197,0.109,0.6,0.153,0.207,0.382,0.429,0.309,0.036,0.071,323.668,7.574,0.007,8
LQHP,4,fc.LQHP_rm.4,0.724,0.919,0.189,0.133,0.555,0.095,0.375,0.33,0.464,0.295,0.036,0.071,331.154,15.06,0,9
LQHPT,4,fc.LQHPT_rm.4,0.724,0.919,0.189,0.134,0.555,0.096,0.384,0.339,0.5,0.34,0.036,0.071,326.733,10.639,0.002,8
L,5,fc.L_rm.5,0.667,0.751,0.209,0.197,0.435,0.16,NA,NA,0.429,0.421,0.107,0.137,321.329,5.235,0.024,4
LQ,5,fc.LQ_rm.5,0.667,0.832,0.292,0.136,0.491,0.249,0.094,0.694,0.464,0.376,0.107,0.137,320.928,4.834,0.029,4
H,5,fc.H_rm.5,0.669,0.343,0.192,0.109,0.532,0.069,0.378,0.402,0.5,0.378,0.036,0.071,323.154,7.06,0.01,6
LQH,5,fc.LQH_rm.5,0.736,0.923,0.122,0.111,0.573,0.07,0.387,0.348,0.214,0.082,0.036,0.071,316.094,0,0.326,5
LQHP,5,fc.LQHP_rm.5,0.651,0.693,0.154,0.118,0.543,0.062,0.461,0.475,0.286,0.202,0.036,0.071,316.879,0.784,0.22,4
LQHPT,5,fc.LQHPT_rm.5,0.651,0.693,0.154,0.118,0.543,0.062,0.461,0.475,0.286,0.202,0.036,0.071,316.879,0.784,0.22,4
