fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.712,0.602,0.104,0.109,0.614,0.084,0.307,0.263,0.222,0.176,0.044,0.061,794.318,54.285,0,13
LQ,1,fc.LQ_rm.1,0.859,0.946,0.073,0.059,0.811,0.069,0.756,0.032,0.156,0.149,0.022,0.05,740.247,0.214,0.277,13
H,1,fc.H_rm.1,0.885,0.935,0.073,0.065,0.834,0.068,0.714,0.144,0.2,0.199,0.022,0.05,893.251,153.218,0,31
LQH,1,fc.LQH_rm.1,0.889,0.91,0.076,0.068,0.833,0.074,0.644,0.278,0.222,0.222,0.022,0.05,915.77,175.737,0,32
LQHP,1,fc.LQHP_rm.1,0.889,0.902,0.084,0.084,0.818,0.083,0.712,0.183,0.222,0.222,0.022,0.05,NA,NA,NA,45
LQHPT,1,fc.LQHPT_rm.1,0.89,0.891,0.084,0.084,0.818,0.083,0.707,0.186,0.222,0.222,0.022,0.05,1376.982,636.948,0,39
L,2,fc.L_rm.2,0.708,0.479,0.098,0.11,0.623,0.097,0.42,0.353,0.178,0.149,0.044,0.061,788.96,48.927,0,11
LQ,2,fc.LQ_rm.2,0.855,0.969,0.085,0.056,0.804,0.083,0.73,0.18,0.178,0.186,0.022,0.05,743.564,3.53,0.053,12
H,2,fc.H_rm.2,0.875,0.925,0.078,0.057,0.832,0.075,0.722,0.105,0.2,0.199,0.022,0.05,1098.627,358.593,0,36
LQH,2,fc.LQH_rm.2,0.877,0.942,0.078,0.058,0.832,0.073,0.661,0.18,0.178,0.169,0.022,0.05,787.714,47.681,0,23
LQHP,2,fc.LQHP_rm.2,0.878,0.944,0.085,0.067,0.818,0.077,0.647,0.067,0.222,0.222,0.022,0.05,774.301,34.268,0,21
LQHPT,2,fc.LQHPT_rm.2,0.878,0.944,0.085,0.067,0.818,0.077,0.647,0.067,0.222,0.222,0.022,0.05,760.528,20.494,0,19
L,3,fc.L_rm.3,0.705,0.63,0.105,0.106,0.639,0.114,0.533,0.298,0.178,0.149,0.022,0.05,780.4,40.367,0,8
LQ,3,fc.LQ_rm.3,0.842,0.963,0.097,0.058,0.789,0.099,0.654,0.179,0.156,0.186,0.022,0.05,749.015,8.982,0.003,11
H,3,fc.H_rm.3,0.864,0.933,0.082,0.052,0.829,0.079,0.592,0.054,0.178,0.169,0.022,0.05,751.469,11.436,0.001,15
LQH,3,fc.LQH_rm.3,0.87,0.948,0.082,0.047,0.833,0.076,0.623,0.115,0.178,0.169,0.022,0.05,749.847,9.813,0.002,16
LQHP,3,fc.LQHP_rm.3,0.867,0.961,0.082,0.061,0.817,0.076,0.424,0.111,0.2,0.199,0.022,0.05,740.033,0,0.308,13
LQHPT,3,fc.LQHPT_rm.3,0.867,0.961,0.082,0.061,0.817,0.076,0.424,0.111,0.2,0.199,0.022,0.05,740.033,0,0.308,13
L,4,fc.L_rm.4,0.701,0.699,0.115,0.098,0.645,0.123,0.564,0.213,0.156,0.127,0.022,0.05,781.753,41.72,0,8
LQ,4,fc.LQ_rm.4,0.824,0.882,0.105,0.066,0.761,0.11,0.652,0.227,0.178,0.169,0.022,0.05,745.517,5.483,0.02,7
H,4,fc.H_rm.4,0.857,0.93,0.08,0.054,0.824,0.077,0.303,0.295,0.178,0.169,0.022,0.05,750.528,10.494,0.002,13
LQH,4,fc.LQH_rm.4,0.864,0.951,0.083,0.046,0.827,0.077,0.623,0.164,0.178,0.186,0.022,0.05,747.108,7.075,0.009,14
LQHP,4,fc.LQHP_rm.4,0.863,0.974,0.08,0.059,0.812,0.073,0.212,0.311,0.2,0.199,0.022,0.05,752.02,11.986,0.001,14
LQHPT,4,fc.LQHPT_rm.4,0.863,0.974,0.08,0.059,0.812,0.073,0.212,0.311,0.2,0.199,0.022,0.05,752.02,11.986,0.001,14
L,5,fc.L_rm.5,0.696,0.778,0.124,0.088,0.652,0.128,0.545,0.176,0.2,0.214,0.022,0.05,783.287,43.254,0,8
LQ,5,fc.LQ_rm.5,0.797,0.863,0.11,0.085,0.712,0.115,0.569,0.223,0.222,0.208,0.022,0.05,752.711,12.677,0.001,6
H,5,fc.H_rm.5,0.852,0.901,0.081,0.058,0.812,0.077,0.154,0.487,0.156,0.169,0.022,0.05,746.473,6.439,0.012,10
LQH,5,fc.LQH_rm.5,0.855,0.923,0.084,0.047,0.819,0.078,0.607,0.205,0.178,0.186,0.022,0.05,750.061,10.028,0.002,13
LQHP,5,fc.LQHP_rm.5,0.856,0.952,0.079,0.062,0.803,0.072,0.035,0.436,0.178,0.202,0.022,0.05,759.752,19.718,0,14
LQHPT,5,fc.LQHPT_rm.5,0.856,0.952,0.079,0.062,0.803,0.072,0.036,0.437,0.178,0.202,0.022,0.05,759.752,19.718,0,14
